 ==> 0.0027642056052
Kit, Chunyu ==> 0.000224513689032
Fuji, Masaru ==> 2.05586273823e-05
Galil, Zvi ==> 2.3118833852e-05
Zhu, Danqing ==> 2.35679722297e-05
Pennacchiotti, Marco ==> 0.000400378414647
Mehlhorn, Kurt ==> 3.86985297259e-05
Li, Li ==> 7.56038885873e-05
Nessly, Larry ==> 2.51265189326e-05
Muthukrishnan, Pradeep ==> 2.09836764101e-05
ObrÄ™bski, Tomasz ==> 2.8619918679e-05
Chen, Ying-Ju ==> 2.62615361758e-05
Mardis, Scott ==> 3.36349252933e-05
Haugeneder, Hans ==> 4.03277565709e-05
Turney, Peter D. ==> 0.000500105388129
Lang, Jun ==> 5.39943147168e-05
Barrett, Leslie ==> 6.23279081841e-05
Sun, Le ==> 0.000127817828987
The Annotation Group ==> 8.07708571912e-05
Ono, Yoshihiko ==> 0.000111284219898
Sakaki, Takeshi ==> 5.93693254372e-05
Zackova, Eva ==> 1.88393309719e-05
McCalla, Gordon I. ==> 3.53390713997e-05
Mitchell, Margaret ==> 3.20732177125e-05
Berendsen, Egon ==> 1.78645955191e-05
Wang, Xiaofeng ==> 3.58439078162e-05
Munoz, Rafael ==> 0.000138545465114
Chinchor, Nancy A. ==> 0.000474297708931
Heimonen, Juho ==> 4.56238316867e-05
Gravano, Agustín ==> 3.00177771608e-05
Aiso, Hideo ==> 2.96121050135e-05
Berrendonner, Alain ==> 8.2401292668e-05
Uchiyama, Koki ==> 5.93693254372e-05
Ogren, Philip V. ==> 0.000144737595843
Abdul, Mujibur ==> 3.69130487867e-05
Christensen, Lee ==> 4.0885525678e-05
Grandchamp, Jean-Michel ==> 2.55630851753e-05
Yamabana, Kiyoshi ==> 0.000126239456503
Hung, Hsi-Chuan ==> 2.56816857035e-05
Kowtko, Jacqueline C. ==> 0.000249865796986
Compagnion, Herve ==> 6.40421803391e-05
Murase, Takahisa ==> 3.62425635601e-05
The PLUM Research Group ==> 0.000154828665492
Bennamoun, Mohammed ==> 3.38498475937e-05
Mermelstein, P. ==> 4.86912464157e-05
White, Ryan ==> 2.07647003743e-05
Ler, Daren ==> 3.86485848059e-05
Barbero, Cristina ==> 4.1451942895e-05
Jirku, Petr ==> 1.82444306871e-05
Xiao, Chun ==> 3.65013999047e-05
Shime, Takao ==> 6.50769209316e-05
Davis, Neil ==> 3.93646024491e-05
Craven, Mark ==> 3.89037873812e-05
Malouf, Robert ==> 0.000344991356415
Andersen, Peggy M. ==> 6.8308376226e-05
Vandeghinste, Vincent ==> 4.36074826049e-05
Meng, Yao ==> 5.69948444766e-05
Bratt, Harry ==> 0.000113774747941
Cromieres, Fabien ==> 2.78383097433e-05
Sandbank, Ben ==> 3.76932016337e-05
Brun, Caroline ==> 0.00011816324936
Rojas, David ==> 5.04359582961e-05
Li, Wanyin ==> 0.000101886766822
Nakazawa, Tsuneko ==> 2.72467584343e-05
Koontz-Garboden, Andrew ==> 3.28195204428e-05
Jiang, Jing ==> 0.00011280358979
Lo, Wai Kit ==> 5.38834481098e-05
Okazaki, Naoaki ==> 0.000215682373104
Granacki, John J. ==> 3.34125951027e-05
Lee, Richard ==> 2.07176011932e-05
Collier, Robin ==> 3.02039091605e-05
Zhang, Hu ==> 2.40044298516e-05
Branavan, S.R.K. ==> 2.78465912926e-05
Stallard, David G. ==> 0.000642328256648
Song, Young-In ==> 4.34325247346e-05
Aikawa, Takako ==> 7.50721243031e-05
Zhu, Conghui ==> 3.11187133153e-05
Krallinger, Martin ==> 3.32773731222e-05
Roussarie, Laurent ==> 3.36004557903e-05
Gedigian, Matt ==> 3.25356086569e-05
Harris, Mary Dee ==> 8.93974722612e-05
Beesley, Kenneth R. ==> 0.000222243628374
Watson, Bruce W. ==> 5.68739768189e-05
Mital, Manav Ratan ==> 2.93601670259e-05
Plank, Barbara ==> 3.0135583403e-05
Pighin, Daniele ==> 0.000201609222401
Kunii, Tosiyasu L. ==> 2.62206873545e-05
Zubarev, Irine ==> 4.71665492616e-05
Jimenez-Salazar, Hector ==> 4.05103427351e-05
Enomoto, Hajime ==> 2.21863800797e-05
Dresher, Elan B. ==> 2.16395905397e-05
Stump, Gregory ==> 1.95609456849e-05
Fouvry, Frederik ==> 0.000117833658583
AbdelRahman, Samir ==> 2.69609916991e-05
Day, David S. ==> 0.000431134444384
Lee, Hyun Ah ==> 4.002440021e-05
Skut, Wojciech ==> 0.000370485782069
Petasis, Georgios ==> 5.00889470225e-05
Della Pietra, Vincent J. ==> 0.00381975348835
Hoffman, Sarah ==> 3.6137330534e-05
Chen, Jinxiu ==> 0.000115254608513
Cruz, Isabel ==> 2.53462364723e-05
Larsen, Jeppe ==> 3.77447735479e-05
Klabbers, Esther ==> 3.16381573335e-05
Beil, Franz ==> 0.000141565081123
Ukai, Naoya ==> 2.26194827738e-05
Wu, Hua ==> 0.000341234223845
Pado, Ulrike ==> 5.73114231542e-05
Tron, Viktor ==> 8.35525887365e-05
Hajicová, Eva ==> 0.000303482575251
Bennett Novak, Gordon ==> 2.62905090209e-05
Estival, Dominique ==> 0.00013635774024
Devos, Laurent ==> 3.87031052366e-05
Lennig, Matthew ==> 6.05429687616e-05
Finthammer, Marc ==> 2.98914905138e-05
Stoness, Scott C. ==> 7.5374311145e-05
Soltau, Hagen ==> 2.96839115588e-05
Williams, David ==> 4.78261200012e-05
Vanhatalo, Ulla ==> 2.22752487338e-05
Cao, Guihong ==> 0.000166096773247
Uemura, Shunsuke ==> 5.68605464158e-05
Kim, Youngwhan ==> 4.79538016616e-05
Rauch, Erik ==> 2.71284978709e-05
Wales, Roger ==> 1.92765951386e-05
Baumann, Timo ==> 3.56015174743e-05
Rossignol, Mathias ==> 4.041724301e-05
Bindi, Remo ==> 0.000108729207527
Beals, Katherine P. ==> 3.13689798088e-05
Kwon, Hyuk-Chul ==> 2.49311796275e-05
Li, Qing ==> 4.46142023188e-05
Macherey, Klaus ==> 5.72637359324e-05
Langjahr, Andreas ==> 3.40488845221e-05
Avgustinova, Tania ==> 3.40553299304e-05
Raman, Anand ==> 2.34961364076e-05
Hammo, Bassam ==> 4.06454767784e-05
Chow, Yen-Lu ==> 0.000159232379768
McNamara, Danielle S. ==> 3.58913426702e-05
Natarajan, Premkumar ==> 4.31580464056e-05
Stefankovic, Daniel ==> 1.89062773563e-05
Bhagat, Sonali ==> 8.35558000153e-05
Kosseim, Leila ==> 6.37087765495e-05
Yasuda, Keiji ==> 7.99068066011e-05
Van Deemter, Kees ==> 0.000381233632008
Chang, Conrad ==> 2.29182309855e-05
Judge, John ==> 3.97213035489e-05
Claassen, Wim ==> 4.67035555868e-05
Ito, Yoshiko ==> 0.000115324004278
Zoeppritz, Magdalena ==> 3.92992964335e-05
Mucha, Basia ==> 3.6137330534e-05
Blanco, Eduardo ==> 2.56050106751e-05
Acquaah-Mensah, George ==> 4.01311674212e-05
Jacquemin, Bernard ==> 2.63412418952e-05
Xun, Endong ==> 8.4018733191e-05
Reutter, Tom ==> 3.37006811349e-05
Kobayashi, Nozomi ==> 8.07134466166e-05
Bouchard, Lorne H. ==> 4.45659170771e-05
Blitzer, John ==> 0.000260789615235
Kussner, Uwe ==> 3.68352326629e-05
Choi, SeonHwa ==> 3.24275882609e-05
Serasset, Gilles ==> 0.000168591256259
Mao, Yu Hang ==> 5.18036816261e-05
Meurers, Walt Detmar ==> 0.000216788502208
Curran, James R. ==> 0.00128857679168
Kaplan, Randy M. ==> 4.94743701671e-05
Savova, Virginia ==> 2.85879682619e-05
Hendler, James A. ==> 1.80605278908e-05
Korelsky, Tanya ==> 0.000309190940938
Paladhi, Sibabrata ==> 2.12798581777e-05
Jun, He ==> 2.73538607891e-05
Yanagida, Masuzo ==> 2.44395996176e-05
Kitsuregawa, Masaru ==> 0.000140061133508
Teibel, Daniel A. ==> 2.4107110902e-05
Yu, Dan ==> 4.37552502081e-05
Gonzalez, Jorge ==> 3.10548729761e-05
Rhyne, James R. ==> 2.70998075056e-05
Xiaohu, Liu ==> 6.34770496403e-05
Duh, Kevin ==> 0.000238530102484
Elmacioglu, Ergin ==> 2.41109400243e-05
Seagull, Amon ==> 3.33628798865e-05
Ohno, Tomohiro ==> 4.73628806056e-05
Schubert, Volker ==> 3.84120576257e-05
Hargreaves, Katherine ==> 1.86003808911e-05
Moreno, Pedro J. ==> 2.93942405505e-05
Shinyama, Yusuke ==> 0.000171967476917
Hanneman, Greg ==> 2.90947031321e-05
Callan, James P. ==> 8.06225473156e-05
Costantini, Cinzia ==> 2.57550939478e-05
Niehren, Joachim ==> 0.000211822950637
Deng, Qiang ==> 2.78246270506e-05
Varadi, Tamas ==> 2.60668977368e-05
Goldman, Robert ==> 4.16195893415e-05
Groenendijk, Marius ==> 3.50016641197e-05
Flores, Glenn ==> 4.37624208997e-05
Vanni, Michelle ==> 5.26720746849e-05
Scholz, Mario ==> 0.000121247007984
Rous, Joep ==> 3.98035196815e-05
Picone, Joseph ==> 5.63973495592e-05
Proszeky, Gabor ==> 0.000249820194479
Montalvo, Soto ==> 4.66233100978e-05
Hargraves, Orin ==> 5.76949154122e-05
Karreman, Joyce ==> 1.94670998754e-05
Tsochantaridis, Ioannis ==> 6.15680555879e-05
Bisani, Maximilian ==> 2.51587713557e-05
Young, Steve ==> 0.000133262122862
Hull, Richard ==> 6.0426532745e-05
Kocsis, Otilia ==> 3.84120576257e-05
Becker, Tilman ==> 0.000242105610109
Ogura, Kentaro ==> 8.02865592274e-05
Carlson, Greg ==> 2.02395090529e-05
Watanabe, Taro ==> 0.000475859462746
Lopez, Patrice ==> 4.9836342184e-05
Ralph, Bo ==> 2.28538505376e-05
Hon, Hsiao-Wuen ==> 0.000136315500918
Schiller, Anne ==> 5.78859490618e-05
Perez, Guillermo ==> 2.800810214e-05
Venkatesan, Ramarathnam ==> 2.01944339094e-05
Kustner, Andreas ==> 4.98389439889e-05
Faruquie, Tanveer A. ==> 3.17528126556e-05
Pfleger, Norbert ==> 8.70524932755e-05
Mao, Xinnian ==> 5.53642480132e-05
Itoh, Yukihiro ==> 3.09354445727e-05
Shen, Yihai ==> 2.23182787299e-05
Shahraray, Behzad ==> 1.91839343919e-05
Dredze, Mark ==> 0.00019787085154
Vicedo Gonzalez, Jose Luis ==> 5.47779578821e-05
Hasan, Maruf ==> 2.16303000212e-05
King, Tracy Holloway ==> 0.000560322703334
Alonso, Miguel A. ==> 5.64210024911e-05
Chatain, Pierre ==> 1.78740492924e-05
Alex, Beatrice ==> 0.000180128878016
Land, Shari ==> 4.00450983518e-05
Rackow, Ulrike ==> 2.23387242856e-05
Kim, Soo-Min ==> 0.000396726528501
Yu, George ==> 2.98183989114e-05
Mendonca, Eneida A. ==> 1.95080679742e-05
Huls, Carla ==> 4.67035555868e-05
Whistlecroft, Lisa ==> 2.13120795733e-05
Tablan, Valentin ==> 0.000475979534809
Raze, Carol ==> 2.23374769265e-05
Visser, Eric M. ==> 2.05586273823e-05
Fraser, Norman M. ==> 0.000153266139597
Neumann, Guenter ==> 0.000380261153455
Montemagni, Simonetta ==> 0.000212223564507
Cherny, Lynn ==> 0.000261533947236
Gabrilovich, Evgeniy ==> 2.35476606084e-05
Nenova, Irina ==> 2.81540754887e-05
Luo, Wei ==> 7.60717904271e-05
Bear, John ==> 0.000969298898386
Morris, Angela ==> 3.03130425756e-05
Shi, Yongmei ==> 4.13101649371e-05
Kommenda, Markus ==> 3.84540242561e-05
Miyo, Kengo ==> 7.9301329766e-05
Weinstein, Scott ==> 0.000642278714319
Osman, Liesl ==> 7.29243990124e-05
Domenig, Marc ==> 5.45298539901e-05
Kozawa, Shunsuke ==> 2.55116098583e-05
Carlson, Adam ==> 2.43566688969e-05
Becher, Margit ==> 2.1948726975e-05
Van Genabith, Josef ==> 0.000785182966189
Su, Weifeng ==> 0.000107422680372
Flejter, Dominik ==> 4.53663788385e-05
Vasconcellos, Muriel ==> 4.15451143175e-05
Billott, Sylvie ==> 9.78129434926e-05
Croft, W. Bruce ==> 6.92370523959e-05
Kim, Jae Dong ==> 2.40514029648e-05
Chiarcos, Christian ==> 8.32569519419e-05
Pierce, David R. ==> 0.000286123999573
Matsuo, Yutaka ==> 0.000136145562028
Herviou, Marie Luce ==> 3.33468055401e-05
Carroll, Glenn ==> 0.000141565081123
Toutanova, Kristina ==> 0.00102003324451
Miura, Aiko ==> 0.000111284219898
Loper, Edward ==> 0.000208713888597
Cai, Lianhong ==> 2.00294687192e-05
Guo, Hui ==> 2.86064175101e-05
Qian, Peide ==> 3.81358311202e-05
Lenzo, Kevin ==> 3.63279051103e-05
Pinto, Hugo ==> 3.96314361134e-05
Hovy, Eduard H. ==> 0.00292650488927
Mullen, Tony ==> 9.16387055702e-05
Doi, Takao ==> 8.55047716768e-05
Hirschberg, Julia B. ==> 0.00103047818559
Fordham, Andrew ==> 3.13352415928e-05
Matykiewicz, Pawel ==> 4.78935085846e-05
Huwel, Sonja ==> 3.02866983185e-05
Grimes, Joseph E. ==> 2.31447548884e-05
Favero, Eloi L. ==> 3.02569684185e-05
Yamada, Seiji ==> 2.62754544236e-05
Hayamizu, Satoru ==> 4.10664080641e-05
Husarciuc, Maria ==> 2.70181861852e-05
Macks, Aaron ==> 2.12893664159e-05
Galibert, Olivier ==> 4.07215990676e-05
Murata, Kazuyoshi ==> 2.78973302042e-05
Lane, Ian ==> 6.83868120681e-05
Guinness, Jethran ==> 5.85928717972e-05
Nelson, Andrew L. ==> 2.9729442357e-05
Davidson, Duncan ==> 3.19497996318e-05
Schafer, Charles ==> 0.000151238156962
Das, Dipanjan ==> 8.75293943054e-05
Pecina, Pavel ==> 9.87836228615e-05
Woo, Chong Woo ==> 2.93271729396e-05
Gauch, Susan ==> 3.27671140106e-05
Martin-Vide, Carlos ==> 1.9619769244e-05
Santorini, Beatrice ==> 0.00221139232194
Pico, David ==> 5.37919347273e-05
Callan, James, P. ==> 1.9114729247e-05
Benus, Stefan ==> 2.39072309183e-05
Hoffman, Beryl ==> 0.000100110416161
Gupta, Narendra ==> 2.93459817948e-05
Harwell, Sarah C. ==> 1.95646938815e-05
Corvey, William ==> 6.01908128944e-05
Liu, Danyu ==> 6.65520263047e-05
Hirao, Tsutomu ==> 0.000272013380908
Bush, Marcia A. ==> 2.53892074561e-05
Pantachat, Wantanee ==> 5.38975603451e-05
Triezenberg, Katrina E. ==> 4.69072803868e-05
Williams, Ken ==> 2.23044006156e-05
Yang, Jin ==> 7.96783337116e-05
Semmar, Nasredine ==> 5.35440005833e-05
Roscheisen, Martin ==> 0.00021265790743
Takeuchi, Jumpei ==> 4.35696517517e-05
Vaidya, Ashwini ==> 3.55226849999e-05
Campbell, David ==> 3.24337163497e-05
Sha, Fei ==> 0.000328414662476
MacLaughlin, Dawn ==> 6.08659058108e-05
Holub, Martin ==> 2.70416128944e-05
Oepen, Stephan ==> 0.000479995812706
De Gispert, Adria ==> 0.000184968934504
Seki, Hiroyuki ==> 2.5105013748e-05
De Brito, Marcilio ==> 1.89941366241e-05
Rogers, Jon ==> 3.69130487867e-05
Bernstein, Jared ==> 7.69889299083e-05
Imai, Hisao ==> 7.67818061541e-05
Ravindran, B. ==> 2.7501263965e-05
Walker, Edward ==> 3.36173231365e-05
Houston, Ann ==> 2.02698590541e-05
Vauzeilles, Jacqueline ==> 3.32662854256e-05
Chen, Ken ==> 2.63399340761e-05
Van Rooy, Robert ==> 2.35956255115e-05
Takada, Shingo ==> 3.18914392391e-05
Zhao, Kai ==> 2.20812952922e-05
Attardi, Giuseppe ==> 0.000273991601329
Kimura, Kazuhiro ==> 4.8126824772e-05
Izumi, Emi ==> 6.37413813439e-05
Kataoka, Ryoji ==> 2.80090274915e-05
Grewal, Amardeep ==> 2.26944250872e-05
Feng, Haodi ==> 8.12739346638e-05
Pecatte, J. M. ==> 7.23757811318e-05
Zue, Victor W. ==> 0.000741916635139
McFetridge, Paul ==> 4.72578779459e-05
Russi, Thomas ==> 2.7204171837e-05
Boye, Johan ==> 7.59559434293e-05
Hric, Jan ==> 4.0676829409e-05
Green, Nancy L. ==> 0.000252016866388
Schwarten, Lasse ==> 1.81866879955e-05
Kim, Sung Dong ==> 4.96930907836e-05
Agrawal, Saumya ==> 3.03210564137e-05
Nenkova, Ani ==> 0.000364641178174
Chen, Chia-Yin ==> 3.575581483e-05
Chiou, Chuei-Feng ==> 4.31187594831e-05
Grenander, Ulf ==> 2.60501372501e-05
Xue, Nianwen ==> 0.000739279815741
Baud, Robert ==> 3.59739545086e-05
Wang, Yu-Chun ==> 2.40260213433e-05
Ishizaki, Masato ==> 0.00011106513196
Thompson, John ==> 4.06724685407e-05
Xia, Yiyuan ==> 7.8534941993e-05
Dave, M. ==> 1.87584668531e-05
Siebert, Alexander ==> 1.88393309719e-05
Fukamachi, Keiichiro ==> 2.8369218991e-05
Rusk, Gregory M. ==> 3.11671585522e-05
Dligach, Dmitriy ==> 5.96807037459e-05
Manshadi, Mehdi ==> 4.52575526434e-05
Ohe, Kazuhiko ==> 7.9301329766e-05
PrzepiÃ³rkowski, Adam ==> 0.000161094674428
Hsieh, Yu-Ming ==> 2.71935487155e-05
GuoDong, Zhou ==> 4.53388520714e-05
Dhillon, Raj ==> 8.35558000153e-05
U, Rohini ==> 2.25625521009e-05
Perennou, G. ==> 7.23757811318e-05
Mohri, Mehryar ==> 0.000246552702954
Wang, Chi-Yung ==> 5.0614017509e-05
Ker, Sur-Jin ==> 0.000198625541872
Palmer, Stephen E. ==> 2.46498784344e-05
Song, Yan ==> 2.29884944756e-05
Grouin, Cyril ==> 2.8885317927e-05
Mok, Eva ==> 2.73041521312e-05
Tang, Karen ==> 2.81074490593e-05
Bruce, Bertram C. ==> 4.61875824447e-05
Micciulla, Linnea ==> 2.746418451e-05
Liu, Huaijun ==> 3.86847897677e-05
Ji, Hyungsuk ==> 3.91558187599e-05
del Valle-Agudo, David ==> 2.55037975563e-05
Colognese, Alberto ==> 2.70022859455e-05
Curteanu, Neculai ==> 1.7915096446e-05
Sasano, Ryohei ==> 7.90706309846e-05
Segura-Bedmar, Isabel ==> 2.62776895163e-05
Yang, Yuhang ==> 3.76897501504e-05
Milidiú, Ruy Luiz ==> 1.79798139203e-05
Stirling, Lesley ==> 1.92765951386e-05
Van Aelten, Filip ==> 2.71967979042e-05
Zhang, Xiuhong ==> 4.35579854956e-05
Kudo, Ikuo ==> 7.51990753371e-05
Hegner, Stephen J. ==> 2.95539869435e-05
Binkowski, Ed ==> 1.93599894009e-05
Adolphs, Peter ==> 7.43553203865e-05
Ailomaa, Marita ==> 3.68328569961e-05
Takahashi, Masahito ==> 5.28048255003e-05
Smith, Noah A. ==> 0.00103629178045
Hartung, Matthias ==> 5.35529878614e-05
Beineke, Philip ==> 4.4352698008e-05
Perry, Doyt ==> 1.83037769647e-05
Nakao, Yoshio ==> 3.13738240714e-05
Jurafsky, Daniel ==> 0.00231989441545
Axelrod, Scott ==> 2.34294349475e-05
Nomura, Naoyuki ==> 4.19928922761e-05
Sugiyama, Kazunari ==> 2.40716086708e-05
Finch, Andrew ==> 0.000221720660876
Szanser, A. J. M. ==> 7.72238929845e-05
Knippen, Robert ==> 0.000121770107114
Bouayad-Agha, Nadjet ==> 0.00012227255799
Schwall, Ulrike ==> 0.000186500920123
Chen, Hsin-Hsi ==> 0.000633562160794
Suebvisai, Sinaporn ==> 3.72480429535e-05
Worm, Karsten L. ==> 0.000176597133787
Simov, Kiril ==> 9.23521774922e-05
Makino, Hiroshi ==> 3.908559211e-05
Bae, Sun-Mee ==> 4.69234575284e-05
Modina, Larisa S. ==> 0.000118343293548
Hepple, Mark ==> 0.00045632820382
Parasuraman, Ram ==> 4.71665492616e-05
Carter, Richard ==> 2.2381791048e-05
Zubiaga, Alex ==> 8.28491499562e-05
Morik, Katharina ==> 3.24910713557e-05
Spyropoulos, Constantine D. ==> 6.97710957e-05
Sutaria, Komal ==> 2.99752484253e-05
R., Urizar ==> 3.2651460982e-05
Schacht, Susanne ==> 6.4139179599e-05
Geleijnse, Gijs ==> 3.37648798289e-05
Chen, J. N. ==> 4.64536726463e-05
Fujita, Kimikazu ==> 7.29058307524e-05
Molla, Diego ==> 8.07589516394e-05
Laubsch, Joachim H. ==> 4.9563855457e-05
Rohrer, Christian ==> 0.0001442135864
Chae, Young-Soog ==> 2.69339756435e-05
Hasan, SaÅ¡a ==> 0.000155059707228
Guenter, Simon ==> 1.78993478967e-05
Roth, Dan ==> 0.00110893690043
Yata, Yasunori ==> 2.19682791276e-05
Schultz, Karl ==> 2.49991132234e-05
Wittenburg, Kent ==> 0.000106126069844
Luo, Dingsheng ==> 3.72199554332e-05
Marcus, Solomon ==> 5.29291701705e-05
Segarra, Encarna ==> 2.55873485593e-05
Lifchits, Andrei ==> 5.73190054775e-05
Hillard, Dustin ==> 7.71866963694e-05
Chan, Erwin ==> 5.60237024501e-05
Kajino, Masayuki ==> 2.88625150546e-05
Arriola, Jose Maria ==> 0.000133667450283
Hegde, Jayprasad ==> 4.43648158312e-05
Wu, Jun ==> 0.000184566977672
Rahman, Fuad ==> 2.58287673173e-05
Fujita, Yoneharu ==> 5.20326780909e-05
Westerhout, Eline ==> 5.74214249173e-05
Brachman, Ronald J. ==> 1.80686180224e-05
Faikenhainer, Brian ==> 2.82739340222e-05
Lee, Songwook ==> 2.0570194893e-05
Kozierok, Robyn ==> 0.000110748945254
Gangadharaiah, Rashmi ==> 3.02392817605e-05
Horton, Diane ==> 3.81500701622e-05
Lee, John ==> 0.000155567396866
Bellegarda, Jerome ==> 3.78770944917e-05
Dardaine, Joanne ==> 2.85050211697e-05
Engel, Ralf ==> 7.40015985475e-05
Boxwell, Stephen ==> 3.57428881507e-05
Popowich, Fred ==> 0.000172937794196
Deng, Xiaotie ==> 8.12739346638e-05
Doshita, Shuji ==> 0.000115351575193
Passerini, Andrea ==> 3.48592119468e-05
Divay, Michel ==> 5.01256592277e-05
Omori, Nobuyuki ==> 3.69525001565e-05
Tuldava, Juhan ==> 1.95844833359e-05
Müller, Christof ==> 3.2116049639e-05
Dorffner, Georg ==> 2.37391583333e-05
ÄŒeÅ¡ka, Pavel ==> 3.46375803755e-05
Tzoukermann, Evelyne ==> 0.000396999680744
Chaumartin, Francois-Regis ==> 2.33684814997e-05
Georgescul, Maria ==> 0.000112470416643
Gotz, Thilo ==> 0.000100313686747
Arnold, Carolin ==> 2.57997980758e-05
Adriaans, Pieter ==> 7.28194275082e-05
Yaghi, Jim ==> 2.59240783044e-05
Coelho, Jorge ==> 2.51660052952e-05
Gilloux, Michel ==> 0.000115758632598
Wolz, Ursula ==> 2.05397578771e-05
Matsumoto, Yuji ==> 0.00256579438259
Leite, Daniel S. ==> 2.00979251704e-05
Haas, Janet ==> 1.95080679742e-05
Van Kuppevelt, Jan ==> 2.78597192788e-05
Lin, I-Peng ==> 2.99111955608e-05
Mathieu, Yvette ==> 2.88232535048e-05
Zhang, Ruiqiang ==> 0.000281842391617
Valdes-Perez, Raul E. ==> 3.16346822669e-05
Liebowitz Taylor, Suzanne ==> 4.66908807967e-05
Ries, Klaus ==> 0.000254694747334
Haigh, Robin ==> 2.17110501216e-05
Prevost, Scott ==> 0.000138200758763
Strandson, Krista ==> 3.85031688857e-05
SanJuan, Eric ==> 4.58506538454e-05
Adolphs, Svenja ==> 2.59781839954e-05
Schasberger, Britta ==> 0.000341081050114
Sánchez, Joan Andreu ==> 3.53967144481e-05
Swartout, William ==> 2.45492718284e-05
Novischi, Adrian ==> 9.44044541833e-05
Patel, Ronakkumar ==> 2.44142884324e-05
Carson-Berndsen, Julie ==> 5.18546518038e-05
Prager, John ==> 0.00025745475765
Dupuy, Sylvain ==> 4.5677355788e-05
Xing, Eric P. ==> 0.000128815591416
Sabah, Gerard ==> 0.000135948558503
Yli-Jyra, Anssi ==> 3.2743598536e-05
Ward, Wayne H. ==> 0.000903577488291
Wu, Horng Jyh Paul ==> 2.80609060951e-05
Lester, James C. ==> 0.000140097926412
Josan, Gurpreet Singh ==> 2.92063514172e-05
Neugebauer, Moritz ==> 3.18070344861e-05
Lim, Dong-Hee ==> 7.67599042976e-05
Cho, Chun-Hung ==> 4.25638444381e-05
Reckman, Hilke ==> 2.2009805758e-05
Rose, Tony G. ==> 3.60125960922e-05
Park, Dong-In ==> 3.30581722709e-05
Bourbeau, Laurent ==> 9.15069345148e-05
Gilbert, K. ==> 3.30292415627e-05
Caldwell, Ted ==> 9.2499567037e-05
Richardson, Fred ==> 3.78770944917e-05
Park, Junsik ==> 3.87140127262e-05
Westbrook, David ==> 5.98182119165e-05
BeÅˆa, Peter ==> 3.46375803755e-05
Klingberg, Tor ==> 3.24206765644e-05
Varga, Dániel ==> 0.000104265959089
Yu, Kai ==> 3.7133853011e-05
Magerman, David M. ==> 0.000957163895967
Wang, Chao ==> 0.000206636496106
Itoh, W. ==> 3.62554614421e-05
Towell, Geoffrey ==> 0.000146701383431
Kritsada, Poolwan ==> 4.36346791979e-05
Li, Minghui ==> 6.9783014529e-05
McClosky, David ==> 0.000317228498329
Shima, Hideki ==> 3.09607159597e-05
Li, Sujian ==> 2.4070263442e-05
Jackendoff, Ray ==> 2.26715504303e-05
Vanderwende, Lucy ==> 0.000312206210223
Furui, Sadaoki ==> 6.72381280213e-05
Lo, Yuen Yee ==> 0.000189486465601
Menzel, Wolfgang ==> 0.00027899823171
Havelka, Jiri ==> 0.000142347981128
Dwiggins, Don ==> 4.68294806438e-05
Cafarella, Michael J. ==> 6.60219248679e-05
Rittman, Robert ==> 5.71131073762e-05
Crim, Jeremiah ==> 0.000139887672795
Ueno, Shinichi ==> 4.12075708708e-05
Chou, Wen-Chi ==> 0.000117249182934
Scott, A. Carlisle ==> 1.7915096446e-05
Yu, Hao ==> 0.00029045218459
Mokrane, Abdenour ==> 1.79395479097e-05
Di Tomaso, Vittorio ==> 3.27139814052e-05
Chai, Joyce Yue ==> 0.000487430020851
Hu, Dong-Cheng ==> 3.23168329339e-05
Ndiaye, Alassane ==> 3.10272900739e-05
Forcada, Mikel L. ==> 3.94859493919e-05
Leal, Antonio ==> 2.5753063881e-05
Osswald, Rainer ==> 3.18546698078e-05
Wang, Xia ==> 3.4310887388e-05
Koivula, Jeppe ==> 3.7312048877e-05
Park, Seong-Bae ==> 7.46494933781e-05
Xiao, Jing ==> 3.56154417709e-05
Ikeda, Hiroshi ==> 8.28242738934e-05
Riddoch, Chris ==> 4.2026398591e-05
Ding, Wei ==> 2.61151732318e-05
Stapley, Benjamin ==> 4.41581365994e-05
Crocker, Matthew W. ==> 0.000109370004372
Brockett, Chris ==> 0.0004408109001
Takamatsu, Shinobu ==> 0.000116063351086
Cawsey, Alison ==> 2.67838601406e-05
Franz, Martin ==> 8.94332333e-05
Sider, Ira ==> 5.41413467505e-05
Tomas, Jesus ==> 5.3843878866e-05
Hervas, Raquel ==> 2.67281438709e-05
Iyer, Rukmini ==> 8.59242087165e-05
Li, Mingqin ==> 2.93646468619e-05
Jordan, Michael I. ==> 7.6540106571e-05
Ryu, Won-He ==> 1.9262411499e-05
Delmonte, Rodolfo ==> 6.64958803958e-05
Goldsmith, John ==> 0.000297890345265
JingHui, Xiao ==> 2.74053405136e-05
Zamchick, Gary ==> 2.36652122578e-05
Desipri, E. ==> 1.94322054259e-05
Ramshaw, Lance A. ==> 0.00149520191139
Nakamura, Jun-Ichi ==> 0.000265648780114
Eskenazi, Maxine ==> 0.000222638488177
Abdalla, Rashid M. ==> 4.20212400732e-05
Gibson, John ==> 2.29182309855e-05
Itai, Alon ==> 0.00051768107849
Hetherington, Lee ==> 8.83981919582e-05
Martin, Paul ==> 0.000200809127148
Kelly, Robert ==> 3.18070344861e-05
Inui, Takashi ==> 0.000164615493436
Li, Runxin ==> 2.7231168301e-05
Barzilay, Regina ==> 0.00168509316703
