 ==> 0.00201519580503
Kit, Chunyu ==> 0.000330763091505
Chou, Lin-Yi ==> 2.17187173716e-05
Roa, Sergio ==> 2.4269219492e-05
Langlais, Philippe ==> 0.00053517467001
Sun, Haotian ==> 3.17514408338e-05
Liu, Ting ==> 0.000658420509786
Wang, Shilong ==> 4.26662086257e-05
Krey, J. ==> 2.37030787092e-05
Ohashi, Kazuteru ==> 3.72301554655e-05
Cherkassky, Vladimir L. ==> 1.97595227061e-05
van der Sluis, Ielka ==> 1.72247759374e-05
Prokic, Jelena ==> 2.51512644113e-05
Eyassu, Samuel ==> 2.78538175787e-05
Zhang, Huipeng ==> 2.63792295167e-05
Giangrandi, Paolo ==> 3.7022173284e-05
Peng, Tao ==> 3.49272510094e-05
Montolio, Josep ==> 4.33283783742e-05
McCoy, Kathleen F. ==> 0.000575261501426
Bohm, Klemens ==> 3.57309931536e-05
Schein, Andrew ==> 0.000171390291754
Fuentes Fort, Maria ==> 2.87921016955e-05
Stamatatos, Efstathios ==> 7.74928003153e-05
Lin, Ziheng ==> 6.50714689407e-05
Newman, Eamonn ==> 2.10972939763e-05
Allegrini, Paolo ==> 2.93587866332e-05
Tsukahara, Nobuyuki ==> 4.25619363316e-05
Prieto, Natividad ==> 7.28579635982e-05
Sheinman, Vera ==> 2.12895354531e-05
Okurowski, Mary Ellen ==> 0.000320044435901
Rozovskaya, Alla ==> 5.05607887097e-05
Winnemoller, Ronald ==> 2.44314326064e-05
Tejedor, Javier ==> 9.10547594453e-05
Kelly, Colin ==> 1.89202760589e-05
Blatak, Jan ==> 2.08486582937e-05
Ravin, Yael ==> 0.000291117563961
Pociello, Eli ==> 3.51396726245e-05
Yamashita, Y. ==> 3.21096491293e-05
Huang, Jui Ting ==> 2.05305493529e-05
Bolshakov, Igor A. ==> 4.01089491541e-05
Nakhimovsky, Alexander ==> 8.28792440911e-05
Vadas, David ==> 9.84964604466e-05
Downey, Doug ==> 7.66793272244e-05
Spitters, Martijn ==> 3.5174621311e-05
Chauché, Jacques ==> 2.5417152757e-05
Sacaleanu, Bogdan ==> 1.8037521083e-05
Piao, Scott S. L. ==> 0.000144832473157
Bonawitz, Keith ==> 2.71751667373e-05
Sandrini, Vanessa ==> 4.53527826564e-05
Jagarlamudi, Jagadeesh ==> 5.02553907513e-05
Kravalova, Jana ==> 3.23034809618e-05
Gillis, Steven ==> 0.000240812174639
Pinto, David ==> 3.45904898179e-05
Sigurd, Bengt ==> 3.06176233503e-05
Morin, Emmanuel ==> 0.000115043482026
Hasan, Kazi Saidul ==> 7.65114132042e-05
Farré, Jacques ==> 2.47310285577e-05
Califf, Mary Elaine ==> 3.94691526033e-05
Jones, Rosie ==> 4.36982017216e-05
Oakes, Michael ==> 2.48772876579e-05
Xin-Yu, Dai ==> 2.60443205935e-05
Poesio, Massimo ==> 0.00128907865324
Lesniewski, A. ==> 6.91446602835e-05
Papineni, Kishore ==> 0.00126970675183
Blaauw, Eleonora ==> 1.91299883271e-05
Nilsson, Jens ==> 0.000824812210888
Elkiss, Aaron ==> 2.42473185968e-05
Kun, Andrew ==> 2.41253199391e-05
Vos, Rein ==> 2.82254393046e-05
Gordon, Andrew S. ==> 9.43008944219e-05
Campbell, Lyle ==> 2.00586844162e-05
Hsieh, Shu-Kai ==> 7.7092804612e-05
Lahti, William ==> 1.83695581187e-05
Van Rooy, Bertus ==> 1.96529076856e-05
Kahane, Sylvain ==> 0.000115263550854
De Bie, Tijl ==> 5.12424838449e-05
Turunen, Markku ==> 2.83246757993e-05
Bell, Matthew ==> 0.000158402438199
Schuler, Karin ==> 3.93115580291e-05
Yoon, Su-Youn ==> 0.00010996450677
Moss, Lawrence S. ==> 2.70375866158e-05
Kim, Jin-Dong ==> 0.000249246787094
Fink, Pamela K. ==> 6.67496356187e-05
Pang, Lixin ==> 5.2482024496e-05
Ticrea, Miruna ==> 5.21598390925e-05
Fujino, Akinori ==> 4.87471957666e-05
Paul, Douglas B. ==> 0.000288297508726
Guo, Jin ==> 9.56067130793e-05
Edwards, Peter ==> 2.83159144674e-05
Glass, James R. ==> 0.000677433696152
Kaggal, Vinod ==> 3.93115580291e-05
Jones, Douglas A. ==> 0.000125356944945
Wang, Ye-Yi ==> 9.91868215351e-05
Samuel, Ken ==> 9.43962438682e-05
Fang, Gaolin ==> 4.56070412051e-05
Naszodi, Matyas ==> 2.77094718184e-05
Nomiyama, Hiroshi ==> 2.30040205212e-05
Tsuchiya, Shin'Ichi ==> 6.95742833726e-05
Min, Hye-Jin ==> 2.44707046163e-05
Goeser, Sebastian ==> 6.90574981239e-05
Harrington, Jonathan ==> 1.75556881696e-05
Hugosson, Asa ==> 2.22185612099e-05
Gispert, Adria De ==> 2.54617712567e-05
Yue, Ming ==> 2.97297698439e-05
Allen, Eileen E. ==> 1.74975024951e-05
McNab, Rodger ==> 9.47294584603e-05
Yakushiji, Akane ==> 0.000128146421593
McCaw, John ==> 1.96987289933e-05
Altun, Yasemin ==> 0.000212798614701
Yang, Yiming ==> 0.000112431815694
Hidano, Youichi ==> 3.18216003402e-05
Weisweber, Wilhelm ==> 7.06740690595e-05
Gleim, Rudiger ==> 2.22809767682e-05
Klippel, Alex ==> 2.30217004192e-05
Mey, Jacob ==> 1.82924954889e-05
Gaume, Bruno ==> 7.73512529005e-05
Chatterji, Sanjay ==> 3.44771447515e-05
Cigarran, Juan ==> 9.29831751605e-05
Jokinen, Kristiina ==> 0.000105914766377
Noureddine, Soufiane ==> 1.96697262383e-05
Yu, Yeong-Ho ==> 3.56036102807e-05
Kerpedjiev, Stephan M. ==> 0.000101743254493
Troutt, Audrey ==> 2.65025080818e-05
Sato, Satoshi ==> 0.000499296976475
Greiff, John ==> 1.89034938811e-05
Kis, Balazs ==> 0.00013346614787
Jones, Danny ==> 5.98954490919e-05
Larkin, Samuel ==> 0.0001097187766
Burek, Gaston G. ==> 2.24573891484e-05
Xu, Bo ==> 0.000214828110539
Berck, Peter ==> 0.000211580574321
Thiel, Ulrich ==> 3.40058179805e-05
Dey, Pradip ==> 4.57981654086e-05
Bu, Jiajun ==> 1.98709908745e-05
Bei, Ben ==> 1.95018799696e-05
Dyvik, Helge ==> 9.71948043562e-05
Langone, Helen ==> 2.16647595636e-05
Krstovski, Kriste ==> 3.78245083955e-05
Surdeanu, Mihai ==> 0.000631116530302
Nguyen, Thuy Linh ==> 4.61308592174e-05
Lehman, Jill Fain ==> 1.65515993523e-05
Marneffe, Marie-Catherine de ==> 4.71634155313e-05
Cidral, Alexandre ==> 2.91878920777e-05
Mizuta, Yoko ==> 3.0197088615e-05
El Isbihani, Anas ==> 4.41089096215e-05
Hjalmarsson, Anna ==> 1.84440648779e-05
Avram, Dana ==> 1.97534382572e-05
Ganguly, Niloy ==> 0.00012828325938
Maxwell III, John T. ==> 0.000717020484543
Rodriguez, Horacio ==> 0.000173942115479
Kotani, Katsunori ==> 3.32431942168e-05
Haji-Abdolhosseini, Mohammad ==> 2.80248555148e-05
Paek, Tim ==> 9.61183951254e-05
Van Gael, Jurgen ==> 5.31761165998e-05
Pan, Feng ==> 7.97369179917e-05
Xiong, Zhongyang ==> 5.70224520313e-05
Fuji, Masaru ==> 1.83767797894e-05
Galil, Zvi ==> 2.05729568909e-05
Zhu, Danqing ==> 2.09940894219e-05
Pennacchiotti, Marco ==> 0.00049241844989
Mehlhorn, Kurt ==> 3.38146730568e-05
Li, Li ==> 6.56572317363e-05
Nessly, Larry ==> 2.32845917376e-05
Muthukrishnan, Pradeep ==> 3.5134915164e-05
ObrÄ™bski, Tomasz ==> 2.53791834514e-05
Chen, Ying-Ju ==> 2.33593748262e-05
Mardis, Scott ==> 2.99773389924e-05
Haugeneder, Hans ==> 3.61275930142e-05
Li, Lu ==> 3.13215822661e-05
Turney, Peter D. ==> 0.000540205630372
Lang, Jun ==> 6.1881733226e-05
Barrett, Leslie ==> 5.37880737941e-05
Sun, Le ==> 0.000110520292235
The Annotation Group ==> 6.91464817464e-05
Ono, Yoshihiko ==> 0.000100260677762
Sakaki, Takeshi ==> 5.22283249874e-05
Zackova, Eva ==> 1.68512464689e-05
McCalla, Gordon I. ==> 3.07745730241e-05
Mitchell, Margaret ==> 6.94479413069e-05
Berendsen, Egon ==> 1.60323448737e-05
Wang, Xiaofeng ==> 3.1266287875e-05
Munoz, Rafael ==> 0.000123247706585
Chinchor, Nancy A. ==> 0.000433289332997
Heimonen, Juho ==> 4.5277782907e-05
Herv&#225;s, Raquel ==> 3.06768017084e-05
Gravano, Agustín ==> 2.75065264638e-05
Aiso, Hideo ==> 2.61914241917e-05
Berrendonner, Alain ==> 7.42388225301e-05
Uchiyama, Koki ==> 5.22283249874e-05
Ogren, Philip V. ==> 0.000137471213058
Abdul, Mujibur ==> 3.27664871595e-05
Christensen, Lee ==> 3.19014973503e-05
Grandchamp, Jean-Michel ==> 2.28156834213e-05
Yamabana, Kiyoshi ==> 0.000112757039402
Hung, Hsi-Chuan ==> 2.22777653061e-05
Kowtko, Jacqueline C. ==> 0.000220566587265
Compagnion, Herve ==> 6.96465418593e-05
Murase, Takahisa ==> 3.19665285457e-05
The PLUM Research Group ==> 0.000133318451127
Bennamoun, Mohammed ==> 2.94560843731e-05
Mermelstein, P. ==> 4.36367767369e-05
Aur&#233;lien, Max ==> 4.23520335688e-05
White, Ryan ==> 1.84392127551e-05
Ler, Daren ==> 3.34875078691e-05
Barbero, Cristina ==> 3.66765435506e-05
Verspoor, Karin ==> 2.16954133738e-05
Xiao, Chun ==> 3.17380084981e-05
Shime, Takao ==> 5.64739408549e-05
Davis, Neil ==> 3.4762815732e-05
Craven, Mark ==> 4.89225091233e-05
Malouf, Robert ==> 0.000354914702786
Andersen, Peggy M. ==> 6.03740120117e-05
Vandeghinste, Vincent ==> 4.10295927152e-05
Meng, Yao ==> 6.15998582394e-05
Bratt, Harry ==> 0.000100920041618
Cromieres, Fabien ==> 2.73946277375e-05
Sandbank, Ben ==> 3.27967984872e-05
Brun, Caroline ==> 0.000102699631862
Rojas, David ==> 5.05704703198e-05
Li, Wanyin ==> 8.76177195552e-05
Nakazawa, Tsuneko ==> 2.42446939701e-05
Koontz-Garboden, Andrew ==> 2.91302316546e-05
Just, Marcel Adam ==> 1.97595227061e-05
Jiang, Jing ==> 0.000172674303898
Lo, Wai Kit ==> 4.59413012125e-05
Okazaki, Naoaki ==> 0.00031422849176
Granacki, John J. ==> 2.9714104896e-05
Lee, Richard ==> 1.84847209997e-05
Collier, Robin ==> 2.71751667373e-05
Zhang, Hu ==> 2.156323929e-05
Saravanan, K ==> 5.02553907513e-05
Branavan, S.R.K. ==> 7.78966725251e-05
Stallard, David G. ==> 0.000556776156775
Song, Young-In ==> 4.43652807755e-05
Aikawa, Takako ==> 6.45128985701e-05
Zhu, Conghui ==> 2.69891972565e-05
Krallinger, Martin ==> 2.90203911301e-05
Roussarie, Laurent ==> 2.99371719372e-05
Gedigian, Matt ==> 4.40329013517e-05
Harris, Mary Dee ==> 7.80390551938e-05
Beesley, Kenneth R. ==> 0.000177823709416
Watson, Bruce W. ==> 5.04050344362e-05
Mital, Manav Ratan ==> 2.5820257079e-05
Plank, Barbara ==> 9.30946613693e-05
Pighin, Daniele ==> 0.000276633503062
Kunii, Tosiyasu L. ==> 2.35705268573e-05
Zubarev, Irine ==> 4.09345995285e-05
Jimenez-Salazar, Hector ==> 3.45904898179e-05
Enomoto, Hajime ==> 2.01152170298e-05
Dresher, Elan B. ==> 1.9310771774e-05
Stump, Gregory ==> 1.76093359989e-05
Fouvry, Frederik ==> 0.000121093423999
AbdelRahman, Samir ==> 2.45868881184e-05
Day, David S. ==> 0.00036862443265
Lee, Hyun Ah ==> 3.46610871765e-05
Skut, Wojciech ==> 0.000315186719213
Petasis, Georgios ==> 4.3657253132e-05
Della Pietra, Vincent J. ==> 0.00348044918716
Hoffman, Sarah ==> 3.1464685919e-05
Chen, Jinxiu ==> 0.000112656057998
Cruz, Isabel ==> 2.22679757497e-05
Larsen, Jeppe ==> 3.25981871915e-05
Klabbers, Esther ==> 2.75552279335e-05
Beil, Franz ==> 0.000121804889441
Ukai, Naoya ==> 1.99025175331e-05
Sneiderman, Charles ==> 2.465502021e-05
Wu, Hua ==> 0.000381356006498
Pado, Ulrike ==> 6.68345513074e-05
Tron, Viktor ==> 7.49271826258e-05
Hajicová, Eva ==> 0.000263930074826
Bennett Novak, Gordon ==> 2.3643564435e-05
Estival, Dominique ==> 0.000134050132618
Devos, Laurent ==> 3.44514265861e-05
Lennig, Matthew ==> 5.41893886138e-05
Finthammer, Marc ==> 2.6233729691e-05
Darrell, Trevor ==> 3.07972772056e-05
Stoness, Scott C. ==> 7.40128392279e-05
Soltau, Hagen ==> 2.59462726058e-05
Williams, David ==> 4.20186705023e-05
Vanhatalo, Ulla ==> 1.98008161694e-05
Cao, Guihong ==> 0.000151682536643
Cheng, Jian ==> 2.19949095968e-05
Uemura, Shunsuke ==> 5.86478307387e-05
Kim, Youngwhan ==> 4.1873579712e-05
Rauch, Erik ==> 2.40066514812e-05
Wales, Roger ==> 1.72682888113e-05
Baumann, Timo ==> 3.31806038071e-05
Rossignol, Mathias ==> 3.37722904552e-05
Zhang, Xiaoxun ==> 5.5935425151e-05
Kirschenbaum, Amit ==> 4.19378734637e-05
Bindi, Remo ==> 9.73758394282e-05
Black, Rolf ==> 1.73038744481e-05
Beals, Katherine P. ==> 2.7730603767e-05
Kwon, Hyuk-Chul ==> 2.21472816669e-05
Li, Qing ==> 3.88489645571e-05
Macherey, Klaus ==> 4.7843713078e-05
Langjahr, Andreas ==> 2.97456619261e-05
Avgustinova, Tania ==> 2.9822440369e-05
Raman, Anand ==> 2.08112189025e-05
Hammo, Bassam ==> 3.5514550062e-05
Chow, Yen-Lu ==> 0.000138566858207
McNamara, Danielle S. ==> 3.12136455736e-05
Natarajan, Premkumar ==> 3.78245083955e-05
Stefankovic, Daniel ==> 2.06941360352e-05
Bhagat, Sonali ==> 7.73239701559e-05
Kosseim, Leila ==> 6.39252353465e-05
Yasuda, Keiji ==> 7.09274346163e-05
Van Deemter, Kees ==> 0.000409608290976
Chang, Conrad ==> 2.03138929151e-05
Honda, Takeo ==> 9.24830732819e-05
Pereira, Fernando C.N. ==> 2.3729461967e-05
Judge, John ==> 4.52233539913e-05
Claassen, Wim ==> 4.11232663493e-05
Ito, Yoshiko ==> 0.000101271295589
Zoeppritz, Magdalena ==> 3.47213408025e-05
Mucha, Basia ==> 3.1464685919e-05
Blanco, Eduardo ==> 2.28572550252e-05
Acquaah-Mensah, George ==> 3.40111698764e-05
Jacquemin, Bernard ==> 2.32235709111e-05
Bergstra, James ==> 2.5477885663e-05
Xun, Endong ==> 7.22650135387e-05
Reutter, Tom ==> 2.94320985734e-05
Kobayashi, Nozomi ==> 8.00640844474e-05
Bouchard, Lorne H. ==> 3.90627484168e-05
Blitzer, John ==> 0.000357355361089
Kussner, Uwe ==> 3.08797171623e-05
Choi, SeonHwa ==> 2.83716438986e-05
Serasset, Gilles ==> 0.000142789069451
Mao, Yu Hang ==> 4.5164399691e-05
Meurers, Walt Detmar ==> 0.000192904414136
Curran, James R. ==> 0.00140333789994
Kaplan, Randy M. ==> 4.37484862449e-05
Savova, Virginia ==> 2.5084714959e-05
Hendler, James A. ==> 1.62068589037e-05
Korelsky, Tanya ==> 0.000265255611726
Paladhi, Sibabrata ==> 1.89861953309e-05
Jun, He ==> 2.41075073352e-05
Yanagida, Masuzo ==> 2.15618805355e-05
Kitsuregawa, Masaru ==> 0.000166362478983
Teibel, Daniel A. ==> 2.13748431704e-05
Yu, Dan ==> 3.84327610064e-05
Gonzalez, Jorge ==> 3.62440577561e-05
Rhyne, James R. ==> 2.42688350689e-05
Xiaohu, Liu ==> 5.48178114317e-05
Duh, Kevin ==> 0.000215992483033
Elmacioglu, Ergin ==> 2.23071721777e-05
Seagull, Amon ==> 2.91749925688e-05
Ohno, Tomohiro ==> 4.2980263633e-05
Kastner, Itamar ==> 3.8241552982e-05
Schubert, Volker ==> 3.44404574733e-05
Hargreaves, Katherine ==> 1.6760690017e-05
Moreno, Pedro J. ==> 2.60150526786e-05
Shinyama, Yusuke ==> 0.000168616522334
Hanneman, Greg ==> 0.000109775540721
Callan, James P. ==> 0.000153189481933
Costantini, Cinzia ==> 2.29734571945e-05
Niehren, Joachim ==> 0.000180693813076
Deng, Qiang ==> 2.4559379589e-05
Varadi, Tamas ==> 2.29437590183e-05
Goldman, Robert ==> 3.65038318407e-05
Groenendijk, Marius ==> 3.16087612597e-05
Flores, Glenn ==> 6.91101689678e-05
Vanni, Michelle ==> 4.49205051065e-05
Scholz, Mario ==> 0.000116411739159
Rous, Joep ==> 3.51971654975e-05
Picone, Joseph ==> 4.88041680563e-05
Proszeky, Gabor ==> 0.000217170657794
Montalvo, Soto ==> 3.82573289266e-05
Hargraves, Orin ==> 7.88932295955e-05
Li, Fan ==> 2.05065890906e-05
Genabith, van Josef ==> 1.79907095179e-05
R. Banga, Eduardo ==> 6.08580319379e-05
Karreman, Joyce ==> 1.74108489397e-05
Tsochantaridis, Ioannis ==> 5.78986281179e-05
Bisani, Maximilian ==> 2.22165685401e-05
Young, Steve ==> 0.000120454355919
Hull, Richard ==> 5.28630618138e-05
Kocsis, Otilia ==> 3.44404574733e-05
Becker, Tilman ==> 0.000213174233783
Ogura, Kentaro ==> 7.22539944014e-05
Carlson, Greg ==> 1.80813818635e-05
Watanabe, Taro ==> 0.000423559341749
Lopez, Patrice ==> 4.40642812834e-05
Ralph, Bo ==> 2.04982232821e-05
Hon, Hsiao-Wuen ==> 0.000118918648674
Schiller, Anne ==> 5.52678553423e-05
Perez, Guillermo ==> 2.50859201031e-05
Venkatesan, Ramarathnam ==> 1.7983865062e-05
Kustner, Andreas ==> 4.4336257278e-05
Faruquie, Tanveer A. ==> 3.50636428082e-05
Pfleger, Norbert ==> 7.59871961025e-05
Mao, Xinnian ==> 4.8431609043e-05
Itoh, Yukihiro ==> 2.73102536102e-05
Shen, Yihai ==> 1.97888435053e-05
Shahraray, Behzad ==> 1.73603047208e-05
Andersen, Ã~C98>istein E. ==> 5.12640992429e-05
Dredze, Mark ==> 0.000238856539961
Feng, Yang ==> 0.000109288499075
Vicedo Gonzalez, Jose Luis ==> 4.98666531898e-05
Hasan, Maruf ==> 1.92582856596e-05
King, Tracy Holloway ==> 0.000602442744151
Alonso, Miguel A. ==> 4.98578070508e-05
Chatain, Pierre ==> 1.60663599284e-05
Alex, Beatrice ==> 0.000163462554644
Land, Shari ==> 3.5220279744e-05
Rackow, Ulrike ==> 1.96785035643e-05
Kim, Soo-Min ==> 0.00039430655203
Clarke, Daoud ==> 2.55675442688e-05
Yu, George ==> 2.63984254956e-05
Myller, Niko ==> 1.85870887768e-05
Mendonca, Eneida A. ==> 1.7484758082e-05
Huls, Carla ==> 4.11232663493e-05
Whistlecroft, Lisa ==> 1.89576654182e-05
Tablan, Valentin ==> 0.000417473632552
Raze, Carol ==> 1.99743414826e-05
Visser, Eric M. ==> 1.83767797894e-05
Fraser, Norman M. ==> 0.000136028479194
Neumann, Guenter ==> 0.000343380817984
Montemagni, Simonetta ==> 0.000183913277599
Cherny, Lynn ==> 0.000228524662718
Gabrilovich, Evgeniy ==> 2.08544152672e-05
Nenova, Irina ==> 2.51924522527e-05
Luo, Wei ==> 7.03061633843e-05
Bear, John ==> 0.000838535084659
Morris, Angela ==> 2.66934727914e-05
Shi, Yongmei ==> 3.59932745912e-05
Kommenda, Markus ==> 3.34543826862e-05
Miyo, Kengo ==> 7.93860162942e-05
Spoustov&#225;, Drahom&#237;ra &#8220;johanka&#8221; ==> 4.0988843143e-05
Weinstein, Scott ==> 0.000569681457128
Osman, Liesl ==> 6.13864845464e-05
Domenig, Marc ==> 4.81236150433e-05
Kozawa, Shunsuke ==> 2.25053404156e-05
Carlson, Adam ==> 2.17511210199e-05
Becher, Margit ==> 1.9646863664e-05
Van Genabith, Josef ==> 0.000701863420764
Su, Weifeng ==> 9.10160745914e-05
Flejter, Dominik ==> 3.96063541791e-05
Vasconcellos, Muriel ==> 3.66255667853e-05
Billott, Sylvie ==> 8.31466668276e-05
Croft, W. Bruce ==> 6.25145234016e-05
Kim, Jae Dong ==> 2.12044033065e-05
Chiarcos, Christian ==> 7.628587996e-05
Pierce, David R. ==> 0.000193334188816
Matsuo, Yutaka ==> 0.000152274458051
Herviou, Marie Luce ==> 2.97973360939e-05
Carroll, Glenn ==> 0.000121804889441
Toutanova, Kristina ==> 0.00107763909195
Miura, Aiko ==> 0.000100260677762
Loper, Edward ==> 0.000209001928394
Cai, Lianhong ==> 1.78494740524e-05
Long, Derek ==> 2.59263640232e-05
Guo, Hui ==> 2.47379229914e-05
Qian, Peide ==> 7.54868550821e-05
Lenzo, Kevin ==> 3.20859676104e-05
Pinto, Hugo ==> 3.44219302325e-05
Hovy, Eduard H. ==> 0.00282600927418
Mullen, Tony ==> 0.000107289079775
Doi, Takao ==> 7.27961441036e-05
Hirschberg, Julia B. ==> 0.00094424641223
Fordham, Andrew ==> 2.76722935929e-05
Matykiewicz, Pawel ==> 4.1427523154e-05
Huwel, Sonja ==> 2.61102181689e-05
Loiseau, Sylvain ==> 2.90633022785e-05
Mukund, Smruthi ==> 3.52798667293e-05
Grimes, Joseph E. ==> 2.05799683737e-05
Favero, Eloi L. ==> 2.68274439557e-05
Yamada, Seiji ==> 2.3520801823e-05
Hayamizu, Satoru ==> 3.62445934231e-05
Yang, Wen-Yun ==> 3.23724050691e-05
Stra&#328;&#225;k, Pavel ==> 6.35418298707e-05
Husarciuc, Maria ==> 2.38974819887e-05
Macks, Aaron ==> 1.90724106884e-05
Galibert, Olivier ==> 3.90882096627e-05
Murata, Kazuyoshi ==> 2.47055971769e-05
Lane, Ian ==> 6.62248353099e-05
Guinness, Jethran ==> 7.16133726342e-05
Nelson, Andrew L. ==> 2.65331281223e-05
Jung, Han-Min ==> 3.81970346489e-05
Davidson, Duncan ==> 2.82155462578e-05
Schafer, Charles ==> 0.000135566810265
Das, Dipanjan ==> 0.000118995515445
Pecina, Pavel ==> 9.97956151962e-05
Rafiei, Davood ==> 2.18096260629e-05
Woo, Chong Woo ==> 2.70753265012e-05
Gauch, Susan ==> 2.87043516204e-05
Martin-Vide, Carlos ==> 1.76380365743e-05
Santorini, Beatrice ==> 0.00201863820039
Pico, David ==> 5.57074607959e-05
Callan, James, P. ==> 1.69054104756e-05
Benus, Stefan ==> 2.22612099279e-05
Hoffman, Beryl ==> 8.95785475293e-05
Gupta, Narendra ==> 2.58206929362e-05
Harwell, Sarah C. ==> 1.74975024951e-05
Corvey, William ==> 5.19508880174e-05
Liu, Danyu ==> 5.92166442898e-05
Hirao, Tsutomu ==> 0.000255759938186
Bush, Marcia A. ==> 2.26462775874e-05
Pantachat, Wantanee ==> 4.75287185352e-05
Triezenberg, Katrina E. ==> 4.14340718183e-05
Williams, Ken ==> 1.97107423244e-05
Yang, Jin ==> 7.72629321077e-05
Semmar, Nasredine ==> 4.69810092331e-05
Roscheisen, Martin ==> 0.000188619851685
Takeuchi, Jumpei ==> 3.76215715467e-05
Korkontzelos, Ioannis ==> 5.94264879759e-05
Vaidya, Ashwini ==> 3.09525045712e-05
Campbell, David ==> 2.82718246802e-05
Sha, Fei ==> 0.000300381723572
MacLaughlin, Dawn ==> 5.29772858463e-05
Holub, Martin ==> 2.37370687853e-05
Oepen, Stephan ==> 0.00045700943381
De Gispert, Adria ==> 0.000155492270027
Carrera, Jordi ==> 1.97624941299e-05
Seki, Hiroyuki ==> 2.42586527894e-05
De Brito, Marcilio ==> 1.6993326768e-05
Rogers, Jon ==> 3.27664871595e-05
Bernstein, Jared ==> 7.56113371863e-05
Coursey, Kino ==> 1.87784102385e-05
Imai, Hisao ==> 7.38804554407e-05
Reidsma, Dennis ==> 3.36605333248e-05
G&#252;ng&#246;r, Tunga ==> 1.86128149953e-05
Do, Thi Ngoc Diep ==> 4.72132815762e-05
Zhou, Hongyan ==> 1.84293419636e-05
Angelov, Krasimir ==> 5.07106776014e-05
Ravindran, B. ==> 2.42571448796e-05
Walker, Edward ==> 2.96553333707e-05
Houston, Ann ==> 1.82143781299e-05
Coyne, Bob ==> 4.67904678679e-05
Vauzeilles, Jacqueline ==> 2.95078224952e-05
Chen, Ken ==> 2.33014633644e-05
Van Rooy, Robert ==> 2.03171419712e-05
Michelbacher, Lukas ==> 1.84721381727e-05
Takada, Shingo ==> 2.80863826023e-05
Zhao, Kai ==> 1.9638296348e-05
Attardi, Giuseppe ==> 0.000288013789561
Kimura, Kazuhiro ==> 4.26520709658e-05
Izumi, Emi ==> 6.27937492991e-05
Kataoka, Ryoji ==> 2.45879856343e-05
Grewal, Amardeep ==> 2.01777794828e-05
Feng, Haodi ==> 6.88834254823e-05
Pecatte, J. M. ==> 6.51520071487e-05
Zue, Victor W. ==> 0.000643427301895
McFetridge, Paul ==> 4.14450067449e-05
Russi, Thomas ==> 2.41629911106e-05
Boye, Johan ==> 6.57485987132e-05
Hric, Jan ==> 3.68684187835e-05
Green, Nancy L. ==> 0.00021842379732
Schwarten, Lasse ==> 1.63347768848e-05
Kim, Sung Dong ==> 4.35876463834e-05
Agrawal, Saumya ==> 2.65902787876e-05
Nenkova, Ani ==> 0.000521842447213
Chen, Chia-Yin ==> 3.36472524004e-05
Chiou, Chuei-Feng ==> 3.70474959432e-05
Grenander, Ulf ==> 2.30165799844e-05
Xue, Nianwen ==> 0.000790009070143
Baud, Robert ==> 3.12921341041e-05
Wang, Yu-Chun ==> 2.12800055285e-05
Ishizaki, Masato ==> 9.69027485141e-05
Thompson, John ==> 6.99345832245e-05
Xia, Yiyuan ==> 7.20584446838e-05
Dave, M. ==> 1.6795207011e-05
Siebert, Alexander ==> 2.00898718436e-05
Fukamachi, Keiichiro ==> 2.47886790361e-05
Rusk, Gregory M. ==> 2.74978622588e-05
Dligach, Dmitriy ==> 8.76348377347e-05
Manshadi, Mehdi ==> 5.60737544704e-05
Ohe, Kazuhiko ==> 9.83065162188e-05
PrzepiÃ³rkowski, Adam ==> 0.000141068275919
Hsieh, Yu-Ming ==> 2.38223864682e-05
GuoDong, Zhou ==> 3.95065764212e-05
Dhillon, Raj ==> 7.73239701559e-05
U, Rohini ==> 1.99194720255e-05
Perennou, G. ==> 6.51520071487e-05
Mohri, Mehryar ==> 0.000238396765277
Wang, Chi-Yung ==> 4.36130130886e-05
Ker, Sur-Jin ==> 0.000170108530412
Palmer, Stephen E. ==> 2.21077716334e-05
Song, Yan ==> 8.63102977115e-05
Grouin, Cyril ==> 2.42478968486e-05
Mok, Eva ==> 2.32687139304e-05
Tang, Karen ==> 2.45269527031e-05
Bruce, Bertram C. ==> 4.15006173821e-05
Micciulla, Linnea ==> 2.41436379414e-05
Liu, Huaijun ==> 4.85986806867e-05
Ji, Hyungsuk ==> 3.40616166568e-05
del Valle-Agudo, David ==> 2.56101471455e-05
Colognese, Alberto ==> 2.38779076462e-05
Curteanu, Neculai ==> 3.10951792077e-05
Sasano, Ryohei ==> 0.000159805739908
Segura-Bedmar, Isabel ==> 2.34295559458e-05
Yang, Yuhang ==> 4.05592014749e-05
Milidiú, Ruy Luiz ==> 1.61183603298e-05
Stirling, Lesley ==> 1.72682888113e-05
Van Aelten, Filip ==> 2.3921314824e-05
Zhang, Xiuhong ==> 3.83074855441e-05
Crouch, Richard ==> 0.000542762066112
Hegner, Stephen J. ==> 2.58298170062e-05
Binkowski, Ed ==> 1.71659602947e-05
Adolphs, Peter ==> 7.24371190259e-05
Ailomaa, Marita ==> 3.21918203876e-05
Takahashi, Masahito ==> 4.60627255732e-05
Smith, Noah A. ==> 0.00130162701301
Hartung, Matthias ==> 4.85547310529e-05
Beineke, Philip ==> 3.94180558323e-05
