 ==> 0.0272685061979
Kit, Chunyu ==> 0.000504029339336
Lin, Kevin Hsin-Yih ==> 2.19115219515e-08
Qu, Wei-guang ==> 1.18606272846e-07
Pineda, Luis A. ==> 0.0
Dietzel, Taiko ==> 3.78467456332e-06
Early, Susana ==> 1.49957355341e-06
McCullough, Daryl ==> 1.3250240218e-08
Chien, Lee-Feng ==> 7.16157729104e-05
Angheluta, Roxana ==> 1.02203342112e-06
Carlson, Lauri ==> 2.24574642086e-08
Sagisaka, Yoshinori ==> 2.62458344496e-09
Wang, Xiaolin ==> 2.10672560717e-09
Fortmann, Christian ==> 1.99096511461e-08
Elzer, Stephanie ==> 8.27322767638e-08
Lee, Hyo-Jung O. ==> 2.91238940801e-08
Hartley, Anthony ==> 0.000204787492596
Wesseling, Wieneke ==> 1.55664397151e-09
Eckart, Kerstin ==> 3.14914159199e-07
Szpakowicz, Stan ==> 0.000729983226529
Farina, Cynthia ==> 3.54302396086e-10
Ferrucci, David ==> 5.39024051906e-09
Lin, Hing-Lung ==> 1.71039274082e-08
Okumura, Akitoshi ==> 0.0002428206761
Tang, Xuri ==> 7.71088316928e-09
Pasero, Robert ==> 1.66204738711e-07
Kokkinakis, George K. ==> 0.000335918742291
Feldman, Anna ==> 4.37783405151e-06
Eberle, Kurt ==> 3.2003503299e-07
Jian, Jia-Yan ==> 1.74234598614e-06
Rinaldo, Frank ==> 6.52016482246e-10
Miyoshi, Hideo ==> 3.00975181514e-07
Huang, Fei ==> 6.47709321385e-05
Wang, Linlin ==> 0.0
Walker, Marilyn A. ==> 0.0135127072505
Ward, Todd ==> 0.0012496716439
Samuelsson, Christer ==> 0.000921796210942
Sarikaya, Ruhi ==> 5.50210111538e-06
Laureys, Tom ==> 0.0
Thomas, James ==> 3.90297841117e-08
Barbu, Ana-Maria ==> 1.81371546327e-08
Liu, Sean ==> 7.16271829901e-09
Quochi, Valeria ==> 4.5975722791e-05
Kendall, Elizabeth ==> 8.37412688127e-08
Kawaguchi, Yasunobu ==> 4.59574950289e-06
Leistensnider, James ==> 0.0
Zhang, Jie ==> 0.000103240665492
Potipiti, Tanapong ==> 3.41606836746e-05
Iomdin, Leonid ==> 0.000143627829653
Kietz, Jorg-Uwe ==> 6.18448974675e-07
Buczyï¿½~Dski, Aleksander ==> 1.17906098527e-05
Singer, Yoram ==> 0.000733997619807
Krishnakumaran, Saisuresh ==> 4.74184336616e-07
Peinado, Victor ==> 2.77803041191e-06
Kay, Roderick ==> 0.0
Yao, Tianfang ==> 6.75146742762e-06
Hensman, Svetlana ==> 3.15301764768e-07
Vogel, S. ==> 1.81073731445e-07
Ren, Feiliang ==> 6.61839310167e-09
Green, Ryan ==> 1.85468423389e-06
Pirker, Hannes ==> 1.5104261201e-06
Barnard, Kobus ==> 0.0
Becker, Markus ==> 0.000406016916871
Sautter, Guido ==> 1.44606988052e-07
Milch, Brian ==> 1.65107126809e-09
Batliner, Anton ==> 0.0
Misu, Teruhisa ==> 2.28115378803e-06
Bowden, Tanya ==> 7.64416709966e-07
Andersen, Ã˜istein E. ==> 7.12353049644e-09
Eck, Karen ==> 7.87605474478e-07
Hunter, Jim ==> 1.68270499828e-05
Ensais, B. Migault ==> 1.32371177493e-06
Shaw, Erin ==> 1.20740501327e-06
Frantzi, Katerina T. ==> 6.73762761418e-05
Yokota, Eiji ==> 0.0
Ribas Framis, Francesc ==> 1.98773302815e-05
Krishnan, Vijay ==> 2.17401894178e-05
Fanchon, Eric ==> 0.0
Genzmann, Heinz ==> 2.42167022859e-07
Rosti, Antti-Veikko ==> 7.22814436099e-06
Cant, James ==> 8.47267191435e-08
Shawar, Bayan Abu ==> 0.0
Sun, Ying ==> 0.0
Nagao, Katashi ==> 6.71808498999e-05
Haruno, Masahiko ==> 4.34632200731e-05
Beaulieu, Micheline ==> 9.67225903882e-11
Kimura, Shinichi ==> 9.20985267051e-08
Wilson, William H. ==> 1.4858136029e-05
Vanopstal, Klaar ==> 6.4461221326e-09
Liu, Chen ==> 0.000111539452147
Gros, Cecile ==> 5.07886699626e-06
Shaw, James ==> 0.00057099204591
Schrader, Bettina ==> 1.40797990031e-05
Cavaglia, Gabriela ==> 5.2831756726e-06
Srinivasan, Ashwin ==> 0.0
Monaco, Peter ==> 0.0
Levow, Gina-Anne ==> 0.0018936407691
Delpech, Estelle ==> 1.05968079824e-06
Anand, Pranav ==> 3.99253087504e-07
Kume, Masako ==> 0.000114036724272
Juan-Císcar, Alfons ==> 0.0
Maeda, Eisaku ==> 0.000132610823296
Swift, Mary ==> 4.3404189904e-05
Fedder, Lee ==> 2.43367812995e-06
Ventura, Matthew ==> 2.11471851151e-08
Picheny, Michael A. ==> 3.0828910876e-07
Tanaka, Takaaki ==> 0.000482764440518
Miyao, Yusuke ==> 0.0017169425953
Quasthoff, Uwe ==> 9.3732962912e-06
Kang, Bo-Yeong ==> 6.2598148196e-07
Bodmer, Franck ==> 1.95521110887e-06
Lü, Yajuan ==> 3.98158050483e-08
Read, Jonathon ==> 6.64052606609e-06
Wehrli, Eric ==> 0.00117666323786
Kim, Anthony ==> 0.0
Ziegler-Eisele, Dorothea ==> 3.51417175964e-06
Al-Raheb, Yafa ==> 0.000221379156217
Busa, Federica ==> 4.01644337193e-06
Li-De, Wu ==> 4.3901174729e-06
Vestre, Espen J. ==> 2.32724487199e-07
Tennant, Harry R. ==> 3.51665445554e-06
Qiu, Long ==> 6.53155774395e-07
Matsoukas, Spyros ==> 7.22814436099e-06
Fukuoka, Kenta ==> 9.16471897842e-08
Shimohata, Sayori ==> 9.27578388759e-06
Woodland, P. C. ==> 7.05871953067e-06
Choi, Sung-Kwon ==> 3.0068911886e-07
Su, Keh-Yih ==> 0.000448444919097
Dipper, Stefanie ==> 1.7018779623e-05
Lam, Wai ==> 0.000126325462916
Buntrock, James ==> 1.1973020793e-06
Collier, Renk ==> 1.5737099526e-06
Kushmerick, Nicholas ==> 4.96228922207e-07
Kermanidis, Katia ==> 3.51422776563e-07
Packard, David W. ==> 0.0
Azeredo, Susana ==> 0.0
Ando, Shinichi ==> 0.000196018794598
Faisal, Kanaan A. ==> 3.11979983874e-07
Myaeng, Sung Hyon ==> 1.99840244569e-06
Maroudas, Axel ==> 3.50786121295e-06
Diderichsen, Philip ==> 3.4000480534e-07
Xing, Yun ==> 5.08274077107e-08
Zeyrek, Deniz ==> 0.0
Ford, W. Randolph ==> 1.62791248349e-07
Vichot, Frantz ==> 1.1278357748e-05
Miyazaki, Masaru ==> 3.03833534259e-08
Lehrberger, Jack ==> 1.82929203279e-07
Umbach, Carla ==> 4.3859858731e-06
Crego, Josep M. ==> 9.11361828793e-06
Sadler, Victor ==> 0.000201417177
Szekely, Rachel ==> 1.36848075488e-06
Moshier, M. Drew ==> 5.1106920451e-08
Cheng, Pu-Jen ==> 2.79501267549e-06
Barnden, John A. ==> 0.000246001689713
Declerck, Thierry ==> 0.000459076863994
Agerri, R. ==> 0.0
Moore, James A. ==> 1.76055960943e-05
Paiva, Daniel S. ==> 2.88766096955e-06
Medlock, Ben ==> 7.14034690826e-06
Kiessling, Andreas ==> 0.0
Nowak, Chris ==> 0.0
Lytinen, Steven L. ==> 3.72965433801e-05
Maloor, Preetam ==> 8.21811322217e-06
Jung, Hanmin ==> 0.000102740374441
Yamashina, Masaki ==> 0.00031305964966
Shen, Wade ==> 6.28271963095e-05
Van Eijck, Jan ==> 2.54390850583e-06
Mori, Shinsuke ==> 9.42075479247e-05
Chakrabarti, Soumen ==> 1.876103562e-06
O'Connell, Theresa A. ==> 0.000204967879169
Choi, Won Seug ==> 3.57919505936e-06
Pantel, Patrick ==> 0.00101302427318
Battle, Alexis ==> 2.57622606732e-05
Hu, Yi ==> 2.27762645956e-07
Rao, B. Ravi Kiran ==> 0.0
Vu, Theresa ==> 9.85989289189e-08
Chen, Kai-Yun ==> 4.36021048596e-09
Matiasek, Johannes ==> 0.000237154780463
Phillips, Brian ==> 2.49042711066e-05
MacDermid, Catriona ==> 1.05713146447e-06
Ross, Michael ==> 4.19311302964e-07
Hu, Yu ==> 1.28645514369e-06
Kuhn, Jonas ==> 0.000131779916496
Means, Robert W. ==> 3.10630207939e-07
Klappholz, David ==> 0.0
Möller, Sebastian ==> 0.0
Santos, Claudia ==> 2.73747233966e-07
Isard, Stephen ==> 0.000303304043943
Kang, Sin-Jae ==> 2.18952706763e-06
Sorensen, Finn ==> 1.95901695605e-08
Hou, Yuexian ==> 8.31891271251e-07
Zhang, Dongdong ==> 3.61702441734e-06
Roberts, Angus ==> 3.35019775668e-05
Hieronymus, James ==> 1.11527288321e-05
Endriss, Cornelia ==> 4.7432810468e-05
Sanders, Gregory ==> 7.59487305759e-07
Tajchman, Gary ==> 2.84788808338e-10
Smarr, Joseph ==> 8.89540140904e-06
Yooseph, Shibu ==> 2.50374639545e-09
Devos, M. ==> 7.94236902268e-08
Fellinger, Carel ==> 7.46899434026e-05
Zwiers, Job ==> 0.0
Sammouda, Elyes ==> 1.31136429388e-08
Morrissey, Sara ==> 3.43584561035e-10
Hsiung, Alain ==> 1.85897516978e-05
Beal, Matthew J. ==> 1.39225955434e-06
An, Joohui ==> 9.90099967119e-08
Lopez de Lacalle, Oier ==> 9.35640006299e-07
Liu, Zhu ==> 2.6495822558e-07
Fujisaki, Tetsunosuke ==> 1.36454001452e-05
Caruana, Joe ==> 0.0
Sanderson, Mark ==> 7.55208565463e-08
Joanis, Eric ==> 3.4754955747e-05
Peskin, Barbara ==> 5.13859117973e-06
Ho, Tu Bao ==> 1.18708192491e-08
Doi, Hirohumi ==> 5.38574723887e-08
Guazzini, Elisabetta ==> 1.22266001883e-07
Oravecz, Csaba ==> 7.71120137434e-05
Li, Hong ==> 0.0
Terken, Jacques ==> 1.78248137604e-07
Rossari, Corinne ==> 9.8092135574e-08
Rousselot, FranÃ§ois ==> 3.55881255417e-05
Moldovan, Dan I. ==> 0.00408594188198
Strapparava, Carlo ==> 0.000595182413039
Burger, John F. ==> 0.0
Lee, Ken Wing Kuen ==> 0.0
Melby, Alan K. ==> 0.00111173058656
Sagae, Kenji ==> 0.000309997590788
Carrrera, Jordi ==> 9.72249922057e-10
Flank, Sharon ==> 1.79551110115e-05
Ward, Karen ==> 1.99481545024e-07
Gonzalez, M. Teresa ==> 1.83345341039e-06
Wang, Weiguo ==> 0.0
Berglund, Anders ==> 4.58032218704e-05
Gigley, Helen M. ==> 0.0
Lux, Veronika ==> 9.15691452697e-05
Derr, Alan ==> 1.03202234232e-06
Kalt, Tom ==> 1.67875007255e-07
Lozano, Carmen ==> 3.4231360193e-06
Sagara, Kaoru ==> 0.0
Goulet, Marie-Josee ==> 2.3317111999e-07
Frassica, Anne-Marie ==> 3.76012459217e-07
Németh, Péter ==> 5.91569159446e-08
White, Noah ==> 1.02868692722e-08
Bly, B. ==> 9.5090563381e-08
Engelson, Sean P. ==> 9.28071110599e-06
Zhu, Jingbo ==> 6.93808451319e-05
Thornell, Christina ==> 0.0
Campia, Paolo ==> 4.0271910897e-08
Gaizauskas, Robert J. ==> 0.00330555213046
Poprat, Michael ==> 8.64607265418e-07
Mani, Inderjeet ==> 0.00405409849273
Butnariu, Cristina ==> 5.83593428805e-07
Heift, Trude ==> 3.11898025519e-08
Lang, Francois-Michel ==> 3.73648721056e-05
Regnier-Prost, Sylvie ==> 3.81685651074e-06
Fan, Yandong ==> 8.37412688127e-08
Chakravarthy, Anil S. ==> 6.77155260179e-06
Radev, Dragomir R. ==> 0.00577783844548
Cheyer, A. ==> 5.98178657423e-06
Stein, Daniel ==> 3.43584561035e-10
Wan, Xiaojun ==> 0.000105921606859
Kiddon, Chloe ==> 6.38041723241e-08
Deschacht, Koen ==> 8.69073433914e-06
Zitouni, Imed ==> 9.3639426555e-05
Habash, Nizar ==> 0.000923474829915
Tseng, Huihsin ==> 0.00010575227777
Marineau, Johanna ==> 1.46704485439e-07
Arnold, Andrew ==> 6.78831854647e-07
Sumner, Tamara ==> 1.90938747932e-07
Patry, Alexandre ==> 3.31679844731e-06
Harris, Thomas ==> 1.59983669919e-05
Yamrom, Boris ==> 1.00961722486e-06
Wai, Carmen ==> 2.12496333112e-07
Ienco, Dino ==> 2.13961168556e-08
Ryant, Neville ==> 6.82474525248e-07
Huggins-Daines, David ==> 3.67274050205e-07
Keil, Martina ==> 7.88020921616e-08
Chung, Moonkyung ==> 7.75803330468e-07
Kim, Hyeon-Jin ==> 2.91238940801e-08
Langendoen, D. Terence ==> 4.51481326756e-06
Shi, Lei ==> 2.80062312979e-06
Culy, Christopher ==> 5.25849499897e-05
Kasper, Robert T. ==> 0.00147644933611
Gerber, Laurie ==> 1.52590286836e-06
Cottrell, Garrison W. ==> 0.0
Ajani, Gianmaria ==> 2.02766323774e-06
Mittal, Vibhu O. ==> 0.000380921675753
Yu, Peng ==> 2.27799592671e-06
Sakkis, Georgios ==> 6.79291864146e-08
Markova, Penka ==> 3.70703647573e-07
Seite, B. ==> 1.63598035445e-07
Haertel, Robbie ==> 1.54406032468e-06
Fukuda, Yasushi ==> 5.38574723887e-08
Schoelles, Michael ==> 2.53941000412e-07
Sasaki, Minoru ==> 5.37438753472e-08
Ciric, Branimir ==> 6.550930808e-06
Vishwanathan, S.V.N. ==> 0.0
Komatsu, Yasunori ==> 1.05970291437e-07
Yoon, Do-Sang ==> 7.93521677227e-07
Erkan, Gunes ==> 0.000100888161309
Fay-Varnier, Christine ==> 5.07266920324e-08
Peng, Fuchun ==> 0.000706192064489
Lee, Katherine ==> 4.95532526507e-09
Makinouchi, Akifumi ==> 0.0
Zhang, Yu ==> 3.54892997035e-06
Menchetti, Sauro ==> 4.4952872271e-07
Kim, Woosung ==> 2.33085867169e-07
Kuusik, Evelin ==> 6.55021811824e-08
Lease, Matthew ==> 1.13242556841e-05
Kurematsu, A. ==> 2.7977552966e-07
Han, Dingyi ==> 5.29089369331e-08
Hog, Jia-Fei ==> 1.18606272846e-07
Nepil, Milos ==> 0.0
Shinohara, Yaushi ==> 3.80366465077e-07
Kershenbaum, Aaron ==> 0.0
De Lima, Vera Lucia Strube ==> 2.2211648131e-06
Wolff, Christian ==> 1.92703874064e-06
Abe, Shuya ==> 1.19840819737e-07
Karande, Arjun ==> 1.04474040817e-07
Ye, Yang ==> 3.14905966104e-05
Amengual, J. C. ==> 1.90785217991e-10
Wright, Nick ==> 0.0
Vogel, Carl ==> 6.57287052577e-08
Kaufmann, Stefan ==> 5.20771056656e-05
Rubinoff, Robert ==> 4.46540666701e-06
Philpot, Andrew ==> 3.05915278582e-06
Copperman, Max ==> 0.0
Yamada, Hiroshi ==> 5.47474381901e-07
Marek, Torsten ==> 1.92561309765e-06
Rullent, Claudio ==> 9.08669355972e-05
Kuusisto, Jukka ==> 4.25050347795e-05
Kinjo, Yumiko ==> 9.94373701632e-07
Alder, Michael D. ==> 8.84056788437e-06
Bernardi, R. ==> 6.40606604675e-09
Shrivaths, R. ==> 9.85989289189e-08
Zhou, Michelle X. ==> 2.43555872175e-06
Aronson, Alan R. ==> 2.30321473353e-05
Carreras, Xavier ==> 0.000871848023629
Kumar, Shankar ==> 4.0352030766e-05
Viethen, Jette ==> 9.83295158042e-07
Perez-Coutino, Manuel ==> 2.22282671104e-07
Sakas, William Gregory ==> 0.0
Lehmann, Hubert ==> 1.15569816266e-05
Eugenio, Barbara Di ==> 3.7938650032e-06
Brown, Jonathan ==> 6.47767710763e-06
Salakoski, Tapio ==> 1.53832141631e-05
Pradhan, Sameer S. ==> 0.000245706165791
Ogino, Takano ==> 2.03434911788e-06
Cohn, Trevor ==> 0.000125012091075
Sasaki, Yasuhiro ==> 2.50341762425e-06
Farzindar, Atefeh ==> 1.86371789552e-06
Lebedev, Alexandr ==> 0.0
Cheung, Lawrence Y. L. ==> 8.43561804909e-07
Urizar, Ruben ==> 1.51574032529e-05
Sinohara, Yasusi ==> 7.91169221749e-07
Paolucci, Massimo ==> 2.81188414834e-06
Lee, Ki-Joong ==> 3.49074490969e-05
Langer, Hagen ==> 2.14162388692e-05
Licuanan, Ana ==> 2.30993018195e-06
Li, Zhifei ==> 2.48831131326e-05
Gopalakrishnan, P. S. ==> 3.0828910876e-07
Fukubayashi, Yuichiro ==> 0.0
Prodanof, Irina ==> 1.27065164775e-05
Lai, Yu-Sheng ==> 7.22929771703e-07
Decker, Nan ==> 2.47766263254e-08
Liu, Ding ==> 4.92766430608e-05
Kim, Young-Kil ==> 1.81233182215e-07
Navarro, Borja ==> 1.79082422435e-07
Graça, João V. ==> 5.41302676744e-08
Cong, Gao ==> 2.22711890894e-05
Argamon, Shlomo ==> 3.1715600447e-05
Klabunde, Ralf ==> 4.946902882e-05
Loftsson, Hrafn ==> 2.27336074682e-07
Zaragoza, Hugo ==> 4.67751889759e-06
Palmucci, Jeff ==> 0.000134154387713
Yates, Alexander ==> 2.1543614787e-05
Wieling, Martijn ==> 2.17805816276e-08
Meteer, Marie W. ==> 0.00184207250763
Kouji, Tamura ==> 9.74687638172e-06
Thomas, Kavita ==> 2.65156759863e-06
Pitler, Emily ==> 5.31613507699e-06
Kurtz, Jeff ==> 0.0
Cyrus, Lea ==> 4.0287197277e-10
Trapman, Jantine ==> 1.44418394941e-05
Diekema, Anne R. ==> 4.1152396678e-06
Lancel, Jean-Marie ==> 1.18095425389e-05
VÅ©, Xuáº©n LÆ°Æ¡ng ==> 3.82249701051e-07
Tsai, Jin-He ==> 2.73173198815e-06
Robinson, Susan ==> 7.50806858344e-10
Estival, D. ==> 3.1177731686e-06
BaÅ„ski, Piotr ==> 2.54262243646e-07
Filisko, Edward ==> 1.30256339971e-08
Denecke, Matthias ==> 0.000475954421422
Minoru, YOSHIDA ==> 0.0
Liddy, Elizabeth D. ==> 8.30886396677e-05
Wutiwiwatchai, Chai ==> 5.18641348302e-07
White, Michael ==> 0.000695393424211
Chia, Tee Kiah ==> 8.29963337463e-06
Raghavan, Sriram ==> 1.0970640155e-06
Yaari, Yaakov ==> 9.19304331181e-07
Wan, Stephen ==> 0.000133463355714
Liou, Hsien-Chin ==> 1.87046641247e-06
Jorg, Brigitte ==> 1.47894629715e-06
Kittredge, Richard ==> 0.000324366712964
Douglas, Shona ==> 0.000397699766276
Goh, Chooi-Ling ==> 3.67715098758e-07
Sakai, Itiroo ==> 0.0
Van Munster, Elly ==> 1.06547594628e-08
Klein, Gary ==> 1.73332512231e-05
Luo, Shengfen ==> 6.16727145205e-06
Bouchard-Côté, Alexandre ==> 7.08799206694e-06
Kentaro, TORISAWA ==> 1.57447426622e-07
Jang, Myung-Gil ==> 4.5466146814e-05
Gnjatovic, Milan ==> 1.41057547603e-09
Whitman, Brian ==> 3.76268323979e-09
Souter, Clive ==> 2.14243363939e-05
Cranias, Lambros ==> 7.37371399354e-06
Imamura, Kenji ==> 2.37959558146e-05
Lincoln, Nashira ==> 0.0
Wang, Jianqiang ==> 1.51259400745e-07
Drissi, Youssef ==> 0.0
Kinyon, Alexandra ==> 0.000100455150935
Perschke, Sergei ==> 1.23263273393e-07
Goldberg, Andrew ==> 1.99545897371e-06
Zhang, Yitao ==> 0.000982607538301
Kotsanis, Yannis ==> 0.0
Pavlina, Fragkou ==> 6.51292006613e-07
Reddy, Nandi ==> 1.88977950142e-05
Miller, Scott ==> 0.00158228727855
Adler, Meni ==> 2.55917102777e-05
Rosenberg, Andrew ==> 1.08602444284e-05
Liscombe, Jackson ==> 0.0
Smith, Melvin R. ==> 1.36838256125e-06
Bonfante, Guillaume ==> 4.883612761e-05
Ruhrberg, Peter ==> 3.8139740702e-06
ÅaziÅ„ski, Marek ==> 3.74535544906e-06
Brajnov, Svjatoslav ==> 3.17007040605e-07
Xi, Xiaoming ==> 0.0
Hinkelman, Elizabeth A. ==> 2.69258338051e-05
Martin, Melanie J. ==> 6.71940227635e-05
Kim, Gilchang ==> 0.000642519644482
Romacker, Martin ==> 2.93710254517e-05
Ueda, Yoshihiro ==> 6.42441853039e-05
Heisterkamp, Paul ==> 5.08806662466e-05
Xu, Feiyu ==> 5.0033542005e-05
Kliegl, Reinhold ==> 2.84493619847e-07
Nakamura, Junpei ==> 6.50093799807e-08
Li, Wei ==> 0.00070947074956
Stocky, Tom ==> 2.45105291408e-05
Osborne, Randy ==> 3.95823219624e-07
Bai, Lakshmi ==> 1.32450864723e-05
Bikel, Daniel M. ==> 0.00194031780301
Miháltz, Márton ==> 3.35855224587e-09
Ball, Catherine N. ==> 1.03945553544e-05
Lalanne, Denis ==> 1.17237164474e-06
Torisawa, Kentaro ==> 0.000691786229979
Song, Mansuk ==> 9.64973495243e-05
Embarek, Mehdi ==> 3.88754255486e-08
Gentile, Claudia ==> 1.35291583962e-06
Liu, Maofu ==> 6.56705829795e-09
Paulussen, Hans ==> 2.86315257739e-05
Watson, Richard E. ==> 9.12594546749e-06
Mari, Alda ==> 0.0
Saiga, Toyomi ==> 3.86101348729e-06
Taskar, Ben ==> 9.39155097324e-05
Götze, Michael ==> 3.26815645334e-09
Goodman, Joshua ==> 0.000496681135888
Archer, Dawn ==> 4.94768427323e-06
Borthen, Kaja ==> 0.0
Lewis, David D. ==> 0.000726566925429
Price, P. ==> 3.31787998054e-05
Coiera, Enrico ==> 7.93000677016e-09
Vutt, Evely ==> 1.01415008766e-06
Peirsman, Yves ==> 3.5954054641e-06
Zhang, Yue ==> 1.95162393952e-05
Fowkes, Helene ==> 9.67225903882e-11
Koyama, Takahiro ==> 1.04344905405e-07
Tenenbaum, Joshua B. ==> 5.37037903837e-07
Ishii, Masayuki ==> 0.0
Li, Wenbo ==> 2.54479744523e-08
Lassen, Tine ==> 3.78631266538e-07
Barr, Valerie ==> 4.14457627025e-07
Hughes, John ==> 2.18867952095e-05
Metzing, Dieter ==> 2.02299280025e-05
Glass, Michael ==> 8.78382040429e-05
Yamano, Fumiyuki ==> 1.76759580644e-06
Schabes, Yves ==> 0.00569939067773
Ming, Ji ==> 3.91268732347e-06
Filippova, Katja ==> 5.26618244145e-05
Lagarda, Antonio L. ==> 2.18550651377e-08
Temperley, David ==> 1.67766876746e-09
Bray, Patrick ==> 1.02868692722e-08
Joseph, Mark ==> 2.05900539842e-07
Chaudhuri, Sourish ==> 0.0
Ruiz-Casado, Maria ==> 1.27116755866e-06
Tang, Yuezhong ==> 1.64873883978e-07
Ikuta, Toshikazu ==> 1.3833350612e-08
Das Gracas Volpe Nunes, Maria ==> 5.51585207186e-05
Fulkerson, Michael S. ==> 1.63393467323e-05
Carthy, Joe ==> 8.55523535294e-07
Szummer, Marcin ==> 0.0
Zuo, Yan ==> 4.86139432191e-06
Vogel, Stephan ==> 0.000502697395204
Samuelsson, Yvonne ==> 1.95656915245e-05
Perrier, Guy ==> 9.04352039637e-05
Shimazu, Hideo ==> 0.000123459033806
Nilsson, Mattias ==> 1.76169138593e-07
Hall, Gary ==> 4.34100439901e-07
Hockenmaier, Julia ==> 0.000343079704411
Nyberg, Eric H. ==> 0.000521970412143
Yang, Dongqiang ==> 2.06354427866e-08
Koontz, Eugene ==> 3.31457664859e-08
Yuen, Raymond W. M. ==> 1.07724462284e-10
Vander Linden, Keith ==> 6.09272489968e-05
Roth, Steven F. ==> 1.75720384977e-05
Martin, William A. ==> 0.0
Hunicke-Smith, K. ==> 3.31787998054e-05
Ji, Gang ==> 8.3832892743e-06
Jiang, Hongfei ==> 1.71755097936e-06
Caldwell, David E. ==> 1.60310274913e-05
Mencke, Myriam ==> 3.47098346446e-07
Ringlstetter, Christoph ==> 0.000113851585013
Ivanova, Krasimira ==> 0.0
Mitjushin, Leonid ==> 3.32770912895e-05
Hying, Christian ==> 9.63099382667e-05
Tsai, Shih-Chung ==> 8.03244784768e-05
Yoshii, Rika ==> 1.24393512717e-05
Williams, Briony ==> 4.81333076637e-06
Sauri, Roser ==> 0.000130073638596
Wachsmuth, Ipke ==> 1.4537040467e-09
Charoenpornsawat, Paisarn ==> 8.32105192292e-07
Gill, Alastair ==> 2.01701005225e-06
Braun, Anthony ==> 3.1365677274e-09
Mille, Simon ==> 1.59190520529e-06
Hermjakob, Ulf ==> 0.000160962766455
Shimohata, Mitsuo ==> 9.83477182115e-06
Cercone, Nick ==> 3.11506678395e-05
Anaya-Sanchez, Henry ==> 0.0
Fan, Xiaozhong ==> 4.95714714065e-07
McLernon, Brian ==> 4.96228922207e-07
Campana, Ellen ==> 5.10599439642e-06
Fersoe, Hanne ==> 6.19415658134e-08
Trippel, Thorsten ==> 1.18145488693e-08
Umeda, Masamitsu ==> 0.0
Song, Ui-Sung ==> 1.0680764245e-05
Pahikkala, Tapio ==> 3.63261598114e-06
Nieflen, S. ==> 1.81073731445e-07
Nakov, Preslav I. ==> 0.000238440070643
Walther, Markus ==> 1.56189289373e-05
Wang, Mengqiu ==> 3.31144909834e-05
Orphanos, Giorgos S. ==> 1.82932153637e-05
Newman, John ==> 5.69068962493e-08
Sammons, Mark ==> 1.29745494216e-06
Yu, Liang-Chih ==> 5.77224858196e-05
Saraswat, Vijay ==> 1.36539688822e-05
Buckeridge, Alan M. ==> 7.43339592235e-08
Tani, Tadaaki ==> 0.0
Tian, Hao ==> 4.18088463422e-07
Zechner, Klaus ==> 0.000851681100547
Black, Ezra W. ==> 0.000501025891624
RamÃ­rez, Jessica ==> 2.40409641519e-09
Tambouratzis, Dimitrios ==> 0.0
Thesingh, Jan ==> 3.62704431779e-07
Seo, Jungyun ==> 0.00104985308831
Brinkmann, Karl-Heinz ==> 0.0
Gaustad, Tanja ==> 5.91444680423e-07
Nigam, Kamal ==> 3.2327325075e-08
Maxwell, Michael ==> 5.0543368524e-05
Gulla, Jon Atle ==> 2.70076056859e-06
Huang, Taiyi ==> 6.39412728541e-06
Munson, Sean ==> 5.1905929476e-10
Niv, Michael ==> 2.05935161256e-05
Wermter, Joachim ==> 8.04857312023e-05
Nishimoto, Takuya ==> 1.20926861377e-05
Frid, Nadezhda ==> 3.9078113146e-05
Chang, Jyun-Sheng ==> 4.01102632734e-06
Dien, Dinh ==> 3.40629101576e-07
Zhang, Ying ==> 4.91076223317e-05
Lu, Jia ==> 5.65092805102e-08
Matsushima, Katsumori ==> 0.0
Nicholson, Devlan ==> 1.73614394204e-06
Van Der Wouden, Ton ==> 4.76190380156e-09
Kilgour, Jonathan ==> 3.65417041156e-06
White, Christopher M. ==> 7.07235554695e-07
Lane, Peter ==> 0.0
Sugimoto, Hiromi ==> 1.41663283898e-06
Borkowsky, Arcady ==> 0.0
Maynard, Diana ==> 0.000858775102838
Mehta, Rahul ==> 3.50786121295e-06
Chen, Benfeng ==> 1.92716871257e-05
Casacuberta, Francisco ==> 6.57702225617e-05
Micelli, Vanessa ==> 1.14631057316e-05
Zhao, Jian ==> 4.98297183304e-08
Chen, Qing ==> 4.17792034054e-07
Catarsi, M. N. ==> 0.0
Meisel, William S. ==> 0.0
Watanabe, Yasuhiko ==> 4.72334228092e-07
Theron, Pieter ==> 2.31097528211e-05
Cowie, James R. ==> 0.000481705532714
Díaz de Ilarraza, Arantza ==> 5.78731623567e-06
Lev, Iddo ==> 1.30077002464e-06
Hansen-Schirra, Silvia ==> 0.000128191875507
Ipeirotis, Panagiotis ==> 1.4628724934e-07
Srinivasan, S. H. ==> 0.0
Homola, Petr ==> 7.03304969337e-07
Granell Zafra, Joaquin ==> 0.0
Dahlmann, Irina ==> 6.51722849093e-09
Petrov, Slav ==> 3.74721513296e-05
Balfourier, Jean-Marie ==> 5.11391477739e-07
Garthwaite, Paul H. ==> 4.73807386426e-08
Rashwan, Mohsen ==> 0.0
Yu, Hong-Kui ==> 5.77379540419e-05
Chan, Syin ==> 1.84909028666e-06
Abuleil, Saleem ==> 0.000105908021014
Eisele, Andreas ==> 0.000427088915945
Lagarrigue, Sandrine ==> 6.912228652e-08
Macpherson, Melissa ==> 2.37663157781e-08
