Ucoluk, Gokturk ==> 2.56494208494e-05
Wu, Haodong ==> 4.18185743561e-05
Xu, Hua ==> 5.83180971035e-05
Ginsca, Alexandru-Lucian ==> 1.66883450307e-05
Potipiti, Tanapong ==> 4.79566373593e-05
Ammar, Waleed ==> 4.90915664039e-05
Kopotev, Mikhail ==> 2.00276036466e-05
Kietz, Jorg-Uwe ==> 2.47247944003e-05
Mani, Premkumar ==> 1.49333701079e-05
Singer, Yoram ==> 0.000502732416503
Yu, Haitao ==> 1.79236294415e-05
El-B&egrave;ze, Marc ==> 2.01978650657e-05
Peinado, Victor ==> 4.38243690509e-05
Choi, DongHyun ==> 1.54560965833e-05
Kay, Roderick ==> 6.69609474082e-05
Yao, Tianfang ==> 3.0377323221e-05
Hensman, Svetlana ==> 2.70717525105e-05
Matthews, Michael ==> 5.58762557913e-05
Vieu, Laure ==> 3.13020951685e-05
Ren, Feiliang ==> 1.85361340185e-05
Green, Ryan ==> 6.39597563136e-05
Tseng, Chien-Lin ==> 1.98899303225e-05
de Cao, Diego ==> 9.68467986339e-05
Pirker, Hannes ==> 3.17895895584e-05
Barnard, Kobus ==> 1.7245359795e-05
Becker, Markus ==> 0.000233833363524
Abu-Jbara, Amjad ==> 6.72312190639e-05
Sautter, Guido ==> 2.795150279e-05
Milch, Brian ==> 1.47737703681e-05
Ali, Aasim ==> 2.30923436006e-05
Benis, Nirupama ==> 3.27449248914e-05
Batliner, Anton ==> 1.67498868756e-05
Misu, Teruhisa ==> 4.42778962542e-05
Rao, Delip ==> 0.000106746775402
Eck, Karen ==> 2.82782808958e-05
Hunter, Jim ==> 4.76881974615e-05
Pr&oacute;sz&eacute;ky, G&aacute;bor ==> 0.000166719413898
Ensais, B. Migault ==> 2.31024757559e-05
Germann, Daniel ==> 1.44614513346e-05
Shaw, Erin ==> 3.6135592818e-05
Frantzi, Katerina T. ==> 7.55440049445e-05
Yokota, Eiji ==> 1.61127395882e-05
Ribas Framis, Francesc ==> 7.08655071565e-05
Krishnan, Vijay ==> 6.78843726165e-05
Kinoshita, Akinori ==> 2.82969212035e-05
Fanchon, Eric ==> 1.77501331374e-05
Genzmann, Heinz ==> 1.87836568927e-05
Cant, James ==> 2.79017146414e-05
Pak, Alexander ==> 2.71360725663e-05
Nagao, Katashi ==> 7.1292463933e-05
Haruno, Masahiko ==> 0.000127316071391
Beaulieu, Micheline ==> 2.04701398156e-05
Kimura, Shinichi ==> 2.69706306267e-05
Wilson, William H. ==> 2.76671712729e-05
Vanopstal, Klaar ==> 1.73932543619e-05
Sehgal, Aditya Kumar ==> 1.38753500912e-05
Liu, Chen ==> 3.39916137513e-05
Aizawa, Akiko ==> 6.0888770502e-05
Erbs, Nicolai ==> 2.22325481588e-05
Shaw, James ==> 0.000246937779003
Schrader, Bettina ==> 4.33897950311e-05
Xu, Xishan ==> 2.05697630204e-05
Srinivasan, Ashwin ==> 1.5178582126e-05
Preu&szlig;, Susanne ==> 2.63033857822e-05
Monaco, Peter ==> 1.74250671065e-05
Barrantes Sliesarieva, Elena Gabriela ==> 1.47632773703e-05
Oda, Akira ==> 1.52171447689e-05
Delpech, Estelle ==> 3.24117004511e-05
Irvine, Ann ==> 5.43254644467e-05
Hong, Jisup ==> 2.9918320261e-05
Kume, Masako ==> 5.5299633309e-05
Maeda, Eisaku ==> 0.000162108682068
Swift, Mary ==> 0.000171871979876
Fedder, Lee ==> 2.39667276868e-05
Kobayashi, Daisuke ==> 1.43548138325e-05
Murray, William R. ==> 4.42431102978e-05
Picheny, Michael A. ==> 2.2456417891e-05
Tanaka, Takaaki ==> 0.000342521859396
Miyao, Yusuke ==> 0.00110746824723
Quasthoff, Uwe ==> 4.60285092688e-05
Masuichi, Hiroshi ==> 4.3576776348e-05
V&aacute;radi, Tam&aacute;s ==> 2.26200053518e-05
Kang, Bo-Yeong ==> 2.73413833242e-05
Bodmer, Franck ==> 2.001211833e-05
Huet, St&eacute;phane ==> 6.48827432274e-05
Pan, Yi-Cheng ==> 2.87216715981e-05
Read, Jonathon ==> 5.25982782466e-05
Kratkiewicz, Gary ==> 3.24641711943e-05
Wehrli, Eric ==> 0.00020007727386
Kim, Anthony ==> 2.34738946428e-05
Bringert, Bj&ouml;rn ==> 3.60536481812e-05
Ziegler-Eisele, Dorothea ==> 2.66441018907e-05
Al-Raheb, Yafa ==> 3.91606753781e-05
Busa, Federica ==> 3.59446218363e-05
Vemulapalli, Smita ==> 3.23959773229e-05
Vestre, Espen J. ==> 2.47573519585e-05
Tennant, Harry R. ==> 3.62667551804e-05
Qiu, Long ==> 4.42408279517e-05
Matsoukas, Spyros ==> 0.00031234285012
Yu, Jianxing ==> 0.000102212066193
Fukuoka, Kenta ==> 3.21368037957e-05
Shimohata, Sayori ==> 5.09293033664e-05
Woodland, P. C. ==> 5.54331164522e-05
Choi, Sung-Kwon ==> 2.37222962557e-05
Qin, Xiao ==> 2.12113169362e-05
Su, Keh-Yih ==> 0.000238479264874
Dipper, Stefanie ==> 4.52968685704e-05
Lam, Wai ==> 0.00015932685581
Christodoulopoulos, Christos ==> 6.91695573982e-05
Karandikar, Anand ==> 4.3135323324e-05
Lin, Wen-Pin ==> 6.08805008326e-05
Kushmerick, Nicholas ==> 2.17921945267e-05
Kermanidis, Katia ==> 2.53261753965e-05
Datha, Naren ==> 1.6298264501e-05
Packard, David W. ==> 1.37844867118e-05
Azeredo, Susana ==> 1.46790101754e-05
Patel, Chintan ==> 1.67211980357e-05
Ando, Shinichi ==> 0.00010185942377
Faisal, Kanaan A. ==> 2.03064020063e-05
Maroudas, Axel ==> 5.72432843473e-05
Diderichsen, Philip ==> 1.80035693684e-05
Xing, Yun ==> 1.85717012528e-05
Ford, W. Randolph ==> 2.01060306464e-05
Vichot, Frantz ==> 5.7024971657e-05
Stokoe, Christopher ==> 3.55075334452e-05
Miyazaki, Masaru ==> 1.80503975771e-05
Lehrberger, Jack ==> 2.1633537671e-05
Umbach, Carla ==> 3.04488645376e-05
Crego, Josep M. ==> 0.000228840066583
Mantel, Matthias ==> 3.40319275272e-05
Sadler, Victor ==> 5.70965228479e-05
Szekely, Rachel ==> 8.68701472139e-05
Moshier, M. Drew ==> 1.90985244165e-05
Downey, Ryan ==> 3.29000989844e-05
Cheng, Pu-Jen ==> 3.7155747223e-05
Barnden, John A. ==> 8.57219392686e-05
Sikiri&cacute;, Ivan ==> 1.68717262633e-05
Zhou, Shusen ==> 3.17410893504e-05
Saint-Amand, Herv&eacute; ==> 4.10361115513e-05
Smith, Andrew E. ==> 9.57929594287e-05
Moore, James A. ==> 6.89667247426e-05
Michou, Athina ==> 1.6489181977e-05
Paiva, Daniel S. ==> 9.78139715495e-05
Medlock, Ben ==> 0.000111426607967
Kiessling, Andreas ==> 1.67498868756e-05
Nowak, Chris ==> 1.6456689384e-05
Lytinen, Steven L. ==> 4.52911013624e-05
Alfonseca, Enrique ==> 0.000137215471415
Castillo, Mauro ==> 2.27725006831e-05
Yamashina, Masaki ==> 6.20596704233e-05
Shen, Wade ==> 0.000610985786059
Van Eijck, Jan ==> 4.06949823115e-05
Chakrabarti, Soumen ==> 3.14243170786e-05
O'Connell, Theresa A. ==> 5.47167785752e-05
Yao, Limin ==> 7.50116982262e-05
Choi, Won Seug ==> 3.07196813242e-05
Engdahl, Elisabet ==> 2.84189303318e-05
Battle, Alexis ==> 5.05164361758e-05
Hu, Yi ==> 2.44807030402e-05
Rao, B. Ravi Kiran ==> 1.56166289107e-05
Vu, Theresa ==> 5.01468004858e-05
Russell, Jeffrey ==> 1.57471377235e-05
Kireyev, Kirill ==> 1.5062149029e-05
Sharma, Harsh Vardhan ==> 1.61081489261e-05
Matiasek, Johannes ==> 0.000112892771643
Gr&uuml;nder, Sabine ==> 1.45099589862e-05
Phillips, Brian ==> 4.1398421783e-05
MacDermid, Catriona ==> 4.15658532289e-05
Ross, Michael ==> 2.53249292068e-05
Hu, Yu ==> 2.6605907299e-05
Lu, Yue ==> 1.75892622019e-05
Kuhn, Jonas ==> 0.000387485527404
Means, Robert W. ==> 1.95596925306e-05
Klappholz, David ==> 1.45681017496e-05
Santos, Claudia ==> 2.44195363742e-05
Isard, Stephen ==> 0.000155313668456
Kang, Sin-Jae ==> 2.88293335469e-05
Sorensen, Finn ==> 2.6799910805e-05
Wu, Yuqian ==> 2.12113169362e-05
Hou, Yuexian ==> 5.0183712913e-05
Zhang, Dongdong ==> 0.000299283656171
Roberts, Angus ==> 6.85453289765e-05
Hieronymus, James ==> 7.30965850691e-05
Endriss, Cornelia ==> 3.49260857995e-05
Sanders, Gregory ==> 4.04579702625e-05
Martins, Pedro ==> 3.98647859794e-05
Dionne, Daniel ==> 2.26808276954e-05
Tajchman, Gary ==> 1.64754759549e-05
Smarr, Joseph ==> 6.4922573144e-05
Yooseph, Shibu ==> 1.88683626247e-05
Devos, M. ==> 1.70805993929e-05
Fellinger, Carel ==> 4.19628993738e-05
Zwiers, Job ==> 1.49808893411e-05
Batori, Istvan ==> 1.6896403939e-05
Hoffmann, Raphael ==> 7.23320519697e-05
Razavi, Marzieh ==> 3.98922848936e-05
Kurahone, Akira ==> 5.07272248285e-05
Lao, Ni ==> 2.48828031793e-05
Zhang, Yan ==> 5.68917445585e-05
Beal, Matthew J. ==> 3.38670555722e-05
An, Joohui ==> 3.35615516531e-05
Liu, Zhu ==> 2.11999993793e-05
Huang, Dan ==> 2.78912660478e-05
Fujisaki, Tetsunosuke ==> 2.84794434334e-05
Caruana, Joe ==> 1.57228132467e-05
Sanderson, Mark ==> 2.07861298784e-05
Mimno, David ==> 5.89962864508e-05
Joanis, Eric ==> 0.000154704232034
Turner, Elise H. ==> 1.64862226312e-05
Ho, Tu Bao ==> 3.54287686796e-05
Doi, Hirohumi ==> 2.36507912586e-05
Shih, Meng-Hsien ==> 1.88239122494e-05
Antunes, Sandra ==> 1.60796140449e-05
De Baets, Bernard ==> 3.08123615498e-05
Duan, Yajuan ==> 1.56470152536e-05
Guazzini, Elisabetta ==> 2.39091935584e-05
Oravecz, Csaba ==> 8.6160064107e-05
Li, Hong ==> 4.55524645957e-05
Terken, Jacques ==> 2.68985606382e-05
Rossari, Corinne ==> 1.59435041796e-05
Nunes, Filipe ==> 3.98647859794e-05
Strapparava, Carlo ==> 0.000348694078604
Burger, John F. ==> 1.80638105402e-05
Lee, Ken Wing Kuen ==> 1.56150735922e-05
Melby, Alan K. ==> 0.000139415677153
Sagae, Kenji ==> 0.000674462642023
Flank, Sharon ==> 6.20626386708e-05
Feddes, Hendrik ==> 1.80481331114e-05
Ward, Karen ==> 2.98866753544e-05
Gonzalez, M. Teresa ==> 3.15846861972e-05
Yang, Zhenglu ==> 4.8509159174e-05
Berglund, Anders ==> 5.1665121982e-05
Gigley, Helen M. ==> 1.82837184602e-05
Lux, Veronika ==> 0.000101218254115
Derr, Alan ==> 4.92182199324e-05
Kalt, Tom ==> 3.11963895815e-05
Lozano, Carmen ==> 2.90684330584e-05
Corley, Courtney D. ==> 8.43643683071e-05
Cholakov, Kostadin ==> 6.56737646713e-05
Cui, Lei ==> 6.43751575324e-05
Goulet, Marie-Josee ==> 2.00041440584e-05
Frassica, Anne-Marie ==> 2.04347991507e-05
White, Noah ==> 2.01977031766e-05
Bly, B. ==> 2.60624599719e-05
Zhu, Jingbo ==> 0.000448764929152
Thornell, Christina ==> 1.4293795657e-05
Campia, Paolo ==> 1.96878038008e-05
Gaizauskas, Robert J. ==> 0.000736814252907
Poprat, Michael ==> 4.11171368929e-05
Mani, Inderjeet ==> 0.000646406802032
Butnariu, Cristina ==> 8.43767844526e-05
Heift, Trude ==> 1.62294055561e-05
Katz, Sandra ==> 3.9146734089e-05
Lang, Francois-Michel ==> 7.22872440657e-05
Regnier-Prost, Sylvie ==> 5.5029118855e-05
Irwin, Jeannie ==> 1.48067024599e-05
Fan, Yandong ==> 1.74694246179e-05
Chakravarthy, Anil S. ==> 3.97687853277e-05
Radev, Dragomir R. ==> 0.00127814701659
Murphy, Brian ==> 3.71417831877e-05
Cheyer, A. ==> 6.77517144037e-05
Hecht, Ron ==> 2.46547186044e-05
Stein, Daniel ==> 0.000136588159293
Wan, Xiaojun ==> 0.000333724377698
Cardenas, Carlos ==> 5.98692670679e-05
Kiddon, Chloe ==> 4.72372806195e-05
Deschacht, Koen ==> 0.000100581592657
Zitouni, Imed ==> 0.00028437088307
Habash, Nizar ==> 0.000730846577953
Yal&ccedil;inkaya, Ihsan ==> 1.56852298261e-05
Petkevi&#x10D;, Vladim&iacute;r ==> 0.000108755221356
Tseng, Huihsin ==> 0.000215537359979
Marineau, Johanna ==> 1.76932827969e-05
Arnold, Andrew ==> 4.40574885128e-05
Sumner, Tamara ==> 2.61397411598e-05
Patry, Alexandre ==> 0.000113463373871
Harris, Thomas ==> 7.83979570081e-05
Alpaslan, Ferda ==> 1.87729804377e-05
Yamrom, Boris ==> 2.51710414641e-05
Zhang, Ming ==> 3.22303180584e-05
Wai, Carmen ==> 1.82937685867e-05
Ienco, Dino ==> 1.88896769616e-05
Spitkovsky, Valentin I. ==> 0.000275192289774
Meurer, Paul ==> 3.14793538271e-05
Ryant, Neville ==> 1.65295509642e-05
Huggins-Daines, David ==> 2.35612949305e-05
Moretto, Laila ==> 1.62383127882e-05
Keil, Martina ==> 1.93283588452e-05
Waldhauser, Christoph ==> 1.8869459666e-05
Chung, Moonkyung ==> 3.65541239845e-05
Dixon, Paul ==> 3.64572409894e-05
Kim, Hyeon-Jin ==> 2.19576222839e-05
Wang, William Yang ==> 4.08611661179e-05
St&uuml;hrenberg, Maik ==> 5.42703102646e-05
Bose, Ritwik ==> 4.26053870504e-05
Li, Shuanghong ==> 2.10225099463e-05
Langendoen, D. Terence ==> 3.23551525073e-05
Shi, Lei ==> 8.61604714467e-05
Culy, Christopher ==> 0.000129067916081
Kasper, Robert T. ==> 0.000278764390268
Lalitha Devi, Sobha ==> 3.17686548424e-05
Gerber, Laurie ==> 3.96214942867e-05
Cottrell, Garrison W. ==> 3.55755367469e-05
Ajani, Gianmaria ==> 2.84047523905e-05
Mittal, Vibhu O. ==> 0.000267725388699
Meyer, Ingrid ==> 5.01494585028e-05
Sakkis, Georgios ==> 2.21106241494e-05
Markova, Penka ==> 4.41407332931e-05
Seite, B. ==> 2.03895848774e-05
Costa, Francisco ==> 6.20030078206e-05
Ling, Wang ==> 2.83174537237e-05
Haertel, Robbie ==> 0.000140703649832
Fukuda, Yasushi ==> 2.36507912586e-05
Schoelles, Michael ==> 1.78039042395e-05
Hukari, Thomas E. ==> 2.2025511276e-05
Sasaki, Minoru ==> 2.06085524778e-05
Hallgren, Thomas ==> 3.02083298767e-05
Ciric, Branimir ==> 3.80059548212e-05
Rastrow, Ariya ==> 2.3186880283e-05
Komatsu, Yasunori ==> 3.51474299438e-05
Elliott, John ==> 2.66989300919e-05
Yoon, Do-Sang ==> 2.25388747575e-05
Erkan, Gunes ==> 0.000195543083539
Fay-Varnier, Christine ==> 2.06932250588e-05
Gadde, Phani ==> 3.39940429063e-05
Peng, Fuchun ==> 0.000309702177687
Scheutz, Matthias ==> 1.54744153185e-05
Lee, Katherine ==> 2.77260935345e-05
Makinouchi, Akifumi ==> 1.69873282522e-05
Schmitt, Alexander ==> 7.43033130829e-05
Zhang, Yu ==> 4.42119211438e-05
Menchetti, Sauro ==> 2.33278444259e-05
Kim, Woosung ==> 2.33120968587e-05
Chen, Chien Chin ==> 1.76361051867e-05
Kuusik, Evelin ==> 1.759385117e-05
Lease, Matthew ==> 0.000118911285854
Kurematsu, A. ==> 2.62158699529e-05
Han, Dingyi ==> 3.21812128956e-05
Li, Zezhong ==> 2.42115553445e-05
Samuelsson, Yvonne ==> 5.91870160589e-05
Moir, Tom ==> 4.24846569537e-05
Laroche, Audrey ==> 3.40294518791e-05
Nepil, Milos ==> 1.43249026674e-05
Shinohara, Yaushi ==> 1.88924728136e-05
Li, Junhui ==> 0.000175234635197
Kershenbaum, Aaron ==> 1.58648681471e-05
Wolff, Christian ==> 2.69838358454e-05
Abe, Shuya ==> 3.69633685951e-05
Karande, Arjun ==> 1.64021769229e-05
Zhao, Yong ==> 2.29155523494e-05
Ye, Yang ==> 6.11717009696e-05
Amengual, J. C. ==> 1.93027450275e-05
Wright, Nick ==> 1.49367616613e-05
Vogel, Carl ==> 5.07543025539e-05
Sajjad, Hassan ==> 8.63852121841e-05
Cai, Xiaoyan ==> 2.2865995213e-05
Vecchi, Eva Maria ==> 2.21464129915e-05
Kaufmann, Stefan ==> 8.71781646136e-05
Rubinoff, Robert ==> 3.9643645442e-05
Das, Dhrubajyoti ==> 2.20336414894e-05
Philpot, Andrew ==> 3.95181954565e-05
Copperman, Max ==> 1.57731101099e-05
Yamada, Hiroshi ==> 2.4034269088e-05
Chinnakotla, Manoj Kumar ==> 3.14548796466e-05
Kamei, Shin-ichiro ==> 7.55148886798e-05
Marek, Torsten ==> 3.44582085324e-05
Chen, Ping ==> 5.51819205042e-05
Rullent, Claudio ==> 5.095119384e-05
Kuusisto, Jukka ==> 5.95023268486e-05
Kinjo, Yumiko ==> 2.65487063991e-05
Alder, Michael D. ==> 2.32697816679e-05
Wuebker, Joern ==> 0.000117886661959
Shrivaths, R. ==> 5.01468004858e-05
Zhou, Michelle X. ==> 4.19269676267e-05
van der Plas, Lonneke ==> 0.000156598431361
Liu, Hongfang ==> 1.3719075645e-05
Gibbons, Christopher ==> 7.7712844604e-05
Mayer, Thomas ==> 2.03363916674e-05
Silins, Ilona ==> 3.42423232632e-05
Aronson, Alan R. ==> 4.42662527626e-05
Niranjan, Mahesan ==> 1.77213710698e-05
Carreras, Xavier ==> 0.000976795122221
Chen, Zhigang ==> 2.73741618486e-05
Viethen, Jette ==> 0.000216862642498
Perez-Coutino, Manuel ==> 2.13313643737e-05
Pal, Christopher ==> 3.38699525417e-05
Lehmann, Hubert ==> 3.6362723605e-05
Shan, Chung-chieh ==> 2.78235502329e-05
Eugenio, Barbara Di ==> 0.000617976125167
Brown, Jonathan ==> 2.56655757779e-05
Salakoski, Tapio ==> 0.000275941130667
Pradhan, Sameer S. ==> 0.000640839046866
Hartung, Matthias ==> 9.00162780596e-05
Cohn, Trevor ==> 0.000648522121133
Mishra, Arpit ==> 2.15802149871e-05
Sasaki, Yasuhiro ==> 7.27141312324e-05
Farzindar, Atefeh ==> 3.9971011597e-05
Lebedev, Alexandr ==> 1.5765145897e-05
Cheung, Lawrence Y. L. ==> 6.47636708575e-05
Urizar, Ruben ==> 7.37214113829e-05
Chang, Ching-Yun ==> 2.53912232046e-05
Zheng, Zhaohui ==> 5.25144960056e-05
Sinohara, Yasusi ==> 2.7237283477e-05
Paolucci, Massimo ==> 5.24973082349e-05
Lee, Ki-Joong ==> 6.27210677227e-05
Langer, Hagen ==> 5.65506010198e-05
Previtali, Daniele ==> 3.13510818367e-05
Persing, Isaac ==> 4.48513213455e-05
Licuanan, Ana ==> 3.73010202575e-05
Bisk, Yonatan ==> 3.37072405167e-05
Gopalakrishnan, P. S. ==> 2.2456417891e-05
Khot, Tushar ==> 1.87948257702e-05
Apostolova, Emilia ==> 4.45893835285e-05
Chen, Yidong ==> 2.37714158502e-05
Prodanof, Irina ==> 7.24286695275e-05
Ponton, C. ==> 2.6643270089e-05
Lai, Yu-Sheng ==> 2.26929444176e-05
Decker, Nan ==> 0.000126788976827
Liu, Ding ==> 0.000227417608655
Kim, Young-Kil ==> 2.40916287041e-05
Navarro, Borja ==> 6.91541120052e-05
Zamparelli, Roberto ==> 4.09577193648e-05
Cong, Gao ==> 9.91935705592e-05
Argamon, Shlomo ==> 0.000104226523876
Klabunde, Ralf ==> 3.79437276313e-05
Zaragoza, Hugo ==> 8.14121683157e-05
Palmucci, Jeff ==> 0.000250013435096
Yates, Alexander ==> 0.000312399519028
Melville, Prem ==> 5.157186625e-05
Wieling, Martijn ==> 4.36426328603e-05
Meteer, Marie W. ==> 0.000433090555601
Kouji, Tamura ==> 4.72628523752e-05
Thomas, Kavita ==> 3.42339179296e-05
Fern&aacute;ndez, Raquel ==> 0.000112715947906
Pitler, Emily ==> 0.000278748747928
Kurtz, Jeff ==> 1.59176245556e-05
Cyrus, Lea ==> 1.80481331114e-05
Mansour, Saib ==> 3.51311455034e-05
Trapman, Jantine ==> 3.94023311038e-05
Mermer, Co&scedil;kun ==> 7.15264564748e-05
Diekema, Anne R. ==> 3.23249420517e-05
Lancel, Jean-Marie ==> 7.29084746286e-05
Wonsever, Dina ==> 2.75348641009e-05
Tsai, Jin-He ==> 2.63670524452e-05
Robinson, Susan ==> 1.53230972171e-05
Gonzalez, Marcos Alvarez ==> 2.15617336741e-05
Lu, Bin ==> 8.94406757867e-05
Ohashi, Kazuteru ==> 3.34544525931e-05
Filisko, Edward ==> 1.94222012908e-05
Khalidov, Vasil ==> 1.64425838061e-05
Llorens, Hector ==> 5.00238867593e-05
Weinstein, Clifford J. ==> 6.48313949294e-05
Liddy, Elizabeth D. ==> 9.31008332401e-05
Wang, Yang ==> 2.72282481565e-05
Qu, Lizhen ==> 2.82150754229e-05
Kuribayashi, Takayuki ==> 1.77716405136e-05
White, Michael ==> 0.000447971845772
Abney, Steven ==> 0.000624272555575
Chia, Tee Kiah ==> 4.58246667798e-05
Raghavan, Sriram ==> 4.88078825725e-05
Kupsc, Anna ==> 2.78963771497e-05
Yaari, Yaakov ==> 1.78954212691e-05
Wan, Stephen ==> 0.000188856283197
Bysani, Praveen ==> 1.80252116374e-05
Liou, Hsien-Chin ==> 5.52757360881e-05
Jorg, Brigitte ==> 2.97837962765e-05
Kittredge, Richard ==> 0.000161475748509
Douglas, Shona ==> 0.000178329987187
Goh, Chooi-Ling ==> 9.55014945725e-05
Sakai, Itiroo ==> 3.05059717078e-05
Van Munster, Elly ==> 2.0311956204e-05
Klein, Gary ==> 7.47083897003e-05
Luo, Shengfen ==> 3.5623644045e-05
Uchiyama, Koki ==> 4.25000936074e-05
Kumar, Shaishav ==> 3.62231312662e-05
Jirku, Petr ==> 1.37596554341e-05
Jang, Myung-Gil ==> 5.73445192544e-05
Gnjatovic, Milan ==> 1.57241468253e-05
Whitman, Brian ==> 1.64837262187e-05
Bossy, Robert ==> 0.000130289392705
Kim, Doo Soon ==> 3.26405571183e-05
Souter, Clive ==> 3.35785201525e-05
Cranias, Lambros ==> 6.40684249698e-05
Imamura, Kenji ==> 0.000134903025818
Whye Teh, Yee ==> 2.04096441893e-05
Sekiguchi, Yoshihiro ==> 1.36881487392e-05
Wang, Jianqiang ==> 1.9679607995e-05
Drissi, Youssef ==> 1.42334104937e-05
Santos, C&iacute;cero Nogueira ==> 4.30822779868e-05
Kinyon, Alexandra ==> 9.05107311478e-05
Perschke, Sergei ==> 1.98702920031e-05
Zhang, Yitao ==> 4.57598056921e-05
Kotsanis, Yannis ==> 1.88758231387e-05
Zhang, Xiaoxun ==> 4.93257400639e-05
Kirschenbaum, Amit ==> 3.14738219823e-05
Miller, Scott ==> 0.000626893650119
Adler, Meni ==> 0.000183324164253
Rosenberg, Andrew ==> 9.8584316537e-05
Liscombe, Jackson ==> 2.97445164215e-05
Smith, Melvin R. ==> 3.07090718115e-05
Bonfante, Guillaume ==> 4.48185457271e-05
Ruhrberg, Peter ==> 4.35996141097e-05
Hagiwara, Masato ==> 8.43447247265e-05
Brajnov, Svjatoslav ==> 2.10823954544e-05
Xi, Xiaoming ==> 5.23438932624e-05
Hinkelman, Elizabeth A. ==> 7.23591702288e-05
Martin, Melanie J. ==> 0.000175956631787
Tang, Yang ==> 4.14056062031e-05
Kim, Gilchang ==> 0.000139837699661
Wojcik, Richard H. ==> 4.04386549327e-05
Fritzinger, Fabienne ==> 2.65573066456e-05
Ueda, Yoshihiro ==> 7.34381510207e-05
Heisterkamp, Paul ==> 2.9600153928e-05
Xu, Feiyu ==> 0.000170914531074
Kliegl, Reinhold ==> 3.60085252829e-05
Choudhury, Pallavi ==> 3.5795335201e-05
Odejobi, Odetunji Ajadi ==> 1.50113132693e-05
Nakamura, Junpei ==> 1.78451873731e-05
Li, Wei ==> 0.000402158107116
Stocky, Tom ==> 5.57822081236e-05
Osborne, Randy ==> 3.89375461879e-05
Bai, Lakshmi ==> 4.88618690756e-05
Zhang, Shaodian ==> 5.97917237751e-05
Metzler, Donald ==> 6.80934315123e-05
Loiseau, M. ==> 2.6643270089e-05
Bikel, Daniel M. ==> 0.000645970947537
Brewster, Christopher ==> 4.6653012249e-05
Ohki, Megumi ==> 4.26172298912e-05
Lalanne, Denis ==> 2.45154235565e-05
Torisawa, Kentaro ==> 0.000734873202914
Song, Mansuk ==> 0.000102677160155
Hsiao, Roger ==> 1.87663014122e-05
Embarek, Mehdi ==> 2.64215826906e-05
Gentile, Claudia ==> 4.59953864657e-05
Liu, Maofu ==> 2.52314160109e-05
Paulussen, Hans ==> 2.3750396306e-05
Watson, Richard E. ==> 3.95841603177e-05
Mari, Alda ==> 1.387025612e-05
Saiga, Toyomi ==> 6.06407386392e-05
Taskar, Ben ==> 0.000554460635576
N&eacute;meth, Laszlo ==> 1.48491209174e-05
Triezenberg, Katrina E. ==> 3.44709922773e-05
Goodman, Joshua ==> 0.000419045829211
Archer, Dawn ==> 3.46627650169e-05
Vidulin, Vedrana ==> 1.78084817991e-05
Borthen, Kaja ==> 1.46036480799e-05
Nguy&ecirc;n, C&circ;m T&uacute; ==> 2.65787165065e-05
Lewis, David D. ==> 0.000159824307456
Kothari, Govind ==> 4.71348104737e-05
Kedia, Piyush ==> 2.38672846564e-05
Price, P. ==> 0.000129978934849
Coiera, Enrico ==> 1.56416743107e-05
Vutt, Evely ==> 2.70606773616e-05
Peirsman, Yves ==> 0.000116476186537
van Gent, Joop ==> 1.89024201515e-05
Ozell, Benoit ==> 1.53740612583e-05
Zhang, Yue ==> 0.00037038015408
Fowkes, Helene ==> 2.04701398156e-05
Koyama, Takahiro ==> 2.46923818095e-05
Tenenbaum, Joshua B. ==> 4.17993621331e-05
Ishii, Masayuki ==> 1.42615279037e-05
Tatzl, Gabriele ==> 1.8869459666e-05
Carroll, Lucien ==> 4.10587746217e-05
Smr&zcaron;, Otakar ==> 1.87093144099e-05
Lassen, Tine ==> 1.90258947952e-05
Barr, Valerie ==> 1.86568021541e-05
Hughes, John ==> 3.29577721014e-05
Metzing, Dieter ==> 4.24845375307e-05
Glass, Michael ==> 0.000131337119595
Yamano, Fumiyuki ==> 3.70757340786e-05
Schabes, Yves ==> 0.000940077887905
Ming, Ji ==> 3.28052725479e-05
Filippova, Katja ==> 0.000192749993336
Temperley, David ==> 1.8453059296e-05
Barrault, Lo&iuml;c ==> 8.9162941665e-05
Bray, Patrick ==> 2.01977031766e-05
Joseph, Mark ==> 2.98600069408e-05
Chaudhuri, Sourish ==> 2.7644671312e-05
Ruiz-Casado, Maria ==> 4.67399970028e-05
Skeppstedt, Maria ==> 2.16298731844e-05
Tseng, Belle ==> 1.6852769935e-05
Ikuta, Toshikazu ==> 1.87980119487e-05
Das Gracas Volpe Nunes, Maria ==> 7.955228211e-05
Welty, Chris ==> 4.55096750359e-05
Fulkerson, Michael S. ==> 4.00312216681e-05
Hovy, Eduard ==> 0.00291061449928
Carthy, Joe ==> 3.94586065354e-05
Szummer, Marcin ==> 1.57825747391e-05
Kipersztok, Oscar ==> 2.40095691866e-05
Kritsada, Poolwan ==> 3.14731778207e-05
Vogel, Stephan ==> 0.00127728638613
Zhu, Qiao-ming ==> 0.000293785982355
Kowadlo, Gideon ==> 2.66330607776e-05
Wing, Benjamin ==> 3.32028451002e-05
Shimazu, Hideo ==> 7.60694979876e-05
Nilsson, Mattias ==> 8.44848331481e-05
Hall, Gary ==> 2.00668915595e-05
Hockenmaier, Julia ==> 0.00057648612495
Perez, Cenel-Augusto ==> 1.66883450307e-05
